product_id,product_category_name,category_name_english,product_base_price,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prd_00030,home_appliances,Home Appliances,149.18,5644.0,42,6,32
prd_00031,office_furniture,Office Furniture,229.57,9609.0,45,63,46
prd_00032,health_perfumery,Health & Perfumery,113.57,6588.0,22,61,29
prd_00033,electronics,Electronics,675.13,4319.0,54,39,36
prd_00034,telephony,Telephony/Mobile,816.93,7576.0,71,22,42
prd_00035,telephony,Telephony/Mobile,555.75,4834.0,44,21,39
prd_00036,beauty_cosmetics,Beauty & Cosmetics,53.81,8384.0,55,24,63
prd_00037,books_stationery,Books & Stationery,36.47,10098.0,47,22,75
prd_00038,electronics,Electronics,270.61,13438.0,14,33,34
prd_00039,sports_leisure,Sports & Leisure,168.38,10855.0,87,70,42
prd_00040,fashion_clothing,Fashion & Apparel,26.39,4394.0,88,53,29
prd_00041,fashion_clothing,Fashion & Apparel,72.18,4295.0,65,79,59
prd_00042,electronics,Electronics,793.19,9346.0,38,10,33
prd_00043,housewares,Housewares,11.47,7658.0,73,29,16
prd_00044,sports_leisure,Sports & Leisure,183.96,10015.0,79,20,64
prd_00045,fashion_clothing,Fashion & Apparel,27.76,3237.0,40,67,72
prd_00046,electronics,Electronics,84.27,3756.0,23,70,18
prd_00047,toys,Toys & Games,17.26,8879.0,91,74,38
prd_00048,garden_tools,Garden Tools,148.56,7661.0,13,27,61
prd_00049,automotive,Automotive Parts,306.92,7641.0,69,45,16
prd_00050,books_stationery,Books & Stationery,30.11,10890.0,73,65,26
prd_00051,fashion_clothing,Fashion & Apparel,85.4,3724.0,64,32,63
prd_00052,electronics,Electronics,177.46,2532.0,42,8,78
prd_00053,electronics,Electronics,473.62,5360.0,22,48,39
prd_00054,sports_leisure,Sports & Leisure,100.28,14312.0,47,66,49
prd_00055,electronics,Electronics,537.73,7950.0,44,17,21
prd_00056,sports_leisure,Sports & Leisure,242.5,13561.0,70,36,79
prd_00057,fashion_shoes,Shoes & Footwear,84.66,2719.0,13,11,11
prd_00058,housewares,Housewares,146.89,4928.0,71,20,78
prd_00059,books_stationery,Books & Stationery,33.1,3212.0,49,80,16
prd_00060,electronics,Electronics,365.9,8170.0,97,30,69
prd_00061,telephony,Telephony/Mobile,387.24,10439.0,42,44,43
prd_00062,fashion_shoes,Shoes & Footwear,45.31,3349.0,90,21,27
prd_00063,electronics,Electronics,168.16,8913.0,72,57,57
prd_00064,fashion_clothing,Fashion & Apparel,44.2,8907.0,49,63,13
prd_00065,sports_leisure,Sports & Leisure,152.2,7005.0,26,27,71
prd_00066,fashion_clothing,Fashion & Apparel,22.19,1319.0,93,17,33
prd_00067,electronics,Electronics,94.24,12935.0,56,63,23
prd_00068,beauty_cosmetics,Beauty & Cosmetics,19.79,11093.0,19,15,80
prd_00069,health_perfumery,Health & Perfumery,26.01,12265.0,26,5,78
prd_00070,electronics,Electronics,524.48,6800.0,96,42,36
prd_00071,fashion_shoes,Shoes & Footwear,198.19,5813.0,16,70,71
prd_00072,fashion_shoes,Shoes & Footwear,143.72,13545.0,50,43,53
prd_00073,fashion_shoes,Shoes & Footwear,160.21,7336.0,92,47,36
prd_00074,health_perfumery,Health & Perfumery,55.34,8607.0,29,62,66
prd_00075,fashion_clothing,Fashion & Apparel,115.16,1732.0,75,33,14
prd_00076,fashion_clothing,Fashion & Apparel,25.35,3108.0,98,66,43
prd_00077,telephony,Telephony/Mobile,967.04,2513.0,98,51,55
prd_00078,fashion_clothing,Fashion & Apparel,48.68,8875.0,29,41,37
prd_00079,beauty_cosmetics,Beauty & Cosmetics,90.46,11830.0,60,65,41
prd_00080,beauty_cosmetics,Beauty & Cosmetics,27.35,8665.0,59,23,20
prd_00081,fashion_clothing,Fashion & Apparel,115.88,1635.0,53,31,48
prd_00082,fashion_shoes,Shoes & Footwear,147.71,4062.0,35,68,34
prd_00083,computers_accessories,Computers & Accessories,552.19,4008.0,48,76,18
prd_00084,sports_leisure,Sports & Leisure,101.73,10873.0,81,28,62
prd_00085,garden_tools,Garden Tools,45.21,929.0,68,6,60
prd_00086,sports_leisure,Sports & Leisure,15.43,9123.0,22,54,25
prd_00087,toys,Toys & Games,102.86,9192.0,37,65,11
prd_00088,computers_accessories,Computers & Accessories,279.99,10605.0,22,50,33
prd_00089,fashion_clothing,Fashion & Apparel,53.74,3053.0,63,57,30
prd_00090,automotive,Automotive Parts,26.73,1166.0,39,23,80
prd_00091,health_perfumery,Health & Perfumery,77.59,4559.0,12,80,75
prd_00092,garden_tools,Garden Tools,74.67,1573.0,59,38,18
prd_00093,telephony,Telephony/Mobile,357.79,12558.0,58,30,42
prd_00094,home_appliances,Home Appliances,608.42,6774.0,73,60,41
prd_00095,computers_accessories,Computers & Accessories,174.96,9272.0,50,61,43
prd_00096,fashion_clothing,Fashion & Apparel,56.95,8180.0,18,31,22
prd_00097,sports_leisure,Sports & Leisure,209.5,8048.0,59,22,42
prd_00098,office_furniture,Office Furniture,278.22,7636.0,31,22,32
prd_00099,home_appliances,Home Appliances,579.5,6409.0,76,32,10
prd_00100,fashion_clothing,Fashion & Apparel,61.37,10718.0,14,79,16
prd_00101,computers_accessories,Computers & Accessories,376.04,4887.0,34,79,30
prd_00102,health_perfumery,Health & Perfumery,15.12,12070.0,93,17,10
prd_00103,electronics,Electronics,246.6,8869.0,90,52,57
prd_00104,sports_leisure,Sports & Leisure,249.69,4154.0,35,73,72
prd_00105,sports_leisure,Sports & Leisure,177.11,603.0,37,16,57
prd_00106,fashion_clothing,Fashion & Apparel,21.87,14397.0,43,24,38
prd_00107,health_perfumery,Health & Perfumery,48.04,9869.0,32,40,70
prd_00108,fashion_clothing,Fashion & Apparel,70.28,11586.0,93,62,33
prd_00109,toys,Toys & Games,75.5,8657.0,87,44,19
prd_00110,fashion_shoes,Shoes & Footwear,53.69,9841.0,70,15,39
prd_00111,sports_leisure,Sports & Leisure,124.1,7724.0,98,77,25
prd_00112,fashion_shoes,Shoes & Footwear,174.61,9904.0,79,74,29
prd_00113,beauty_cosmetics,Beauty & Cosmetics,17.18,7168.0,94,11,77
prd_00114,office_furniture,Office Furniture,263.32,5665.0,96,44,74
prd_00115,home_appliances,Home Appliances,577.78,13038.0,18,70,22
prd_00116,fashion_clothing,Fashion & Apparel,78.21,4870.0,37,34,50
prd_00117,electronics,Electronics,585.41,661.0,77,31,70
prd_00118,fashion_clothing,Fashion & Apparel,114.25,9567.0,89,34,59
prd_00119,electronics,Electronics,547.78,9798.0,34,33,55
prd_00120,electronics,Electronics,95.91,9408.0,20,65,55
prd_00121,computers_accessories,Computers & Accessories,806.78,9574.0,97,79,39
prd_00122,fashion_shoes,Shoes & Footwear,173.13,13038.0,18,28,73
prd_00123,sports_leisure,Sports & Leisure,200.82,11658.0,54,80,32
prd_00124,home_appliances,Home Appliances,919.62,3147.0,73,6,32
prd_00125,electronics,Electronics,292.38,808.0,41,14,62
prd_00126,housewares,Housewares,27.03,8672.0,86,11,70
prd_00127,electronics,Electronics,733.11,8944.0,50,74,78
prd_00128,electronics,Electronics,709.97,12776.0,42,51,55
prd_00129,fashion_clothing,Fashion & Apparel,17.84,7527.0,65,45,73
prd_00130,home_appliances,Home Appliances,460.69,11121.0,85,79,67
prd_00131,office_furniture,Office Furniture,241.25,8151.0,31,70,68
prd_00132,telephony,Telephony/Mobile,351.18,4148.0,95,7,73
prd_00133,electronics,Electronics,375.06,8032.0,62,38,71
prd_00134,beauty_cosmetics,Beauty & Cosmetics,47.24,1601.0,50,13,39
prd_00135,beauty_cosmetics,Beauty & Cosmetics,54.04,6740.0,95,26,55
prd_00136,health_perfumery,Health & Perfumery,34.63,13798.0,76,68,75
prd_00137,computers_accessories,Computers & Accessories,1249.13,4412.0,35,50,39
prd_00138,electronics,Electronics,606.72,7996.0,97,16,51
prd_00139,computers_accessories,Computers & Accessories,662.45,5850.0,98,34,22
prd_00140,electronics,Electronics,261.85,3079.0,92,42,34
prd_00141,electronics,Electronics,214.1,8505.0,20,51,19
prd_00142,housewares,Housewares,50.24,13403.0,78,14,25
prd_00143,fashion_shoes,Shoes & Footwear,164.15,656.0,32,80,27
prd_00144,housewares,Housewares,67.58,2148.0,46,51,17
prd_00145,computers_accessories,Computers & Accessories,719.4,8495.0,18,21,63
prd_00146,office_furniture,Office Furniture,282.79,5420.0,22,76,20
prd_00147,beauty_cosmetics,Beauty & Cosmetics,25.06,13849.0,25,79,40
prd_00148,home_appliances,Home Appliances,522.99,6186.0,81,14,14
prd_00149,electronics,Electronics,461.09,6138.0,98,78,11
prd_00150,computers_accessories,Computers & Accessories,352.73,7835.0,77,59,41
prd_00151,computers_accessories,Computers & Accessories,204.76,1646.0,71,66,37
prd_00152,toys,Toys & Games,147.59,4557.0,12,70,10
prd_00153,computers_accessories,Computers & Accessories,194.28,6223.0,16,37,66
prd_00154,electronics,Electronics,570.59,275.0,82,21,11
prd_00155,books_stationery,Books & Stationery,31.51,2559.0,66,64,59
prd_00156,housewares,Housewares,122.22,4113.0,59,59,79
prd_00157,toys,Toys & Games,101.37,6452.0,45,42,19
prd_00158,electronics,Electronics,742.97,12657.0,65,17,37
prd_00159,toys,Toys & Games,46.69,13229.0,63,53,79
prd_00160,books_stationery,Books & Stationery,40.42,1414.0,32,20,42
prd_00161,fashion_clothing,Fashion & Apparel,83.93,4709.0,69,43,68
prd_00162,telephony,Telephony/Mobile,473.61,11847.0,96,40,76
prd_00163,health_perfumery,Health & Perfumery,95.85,11183.0,82,53,45
prd_00164,fashion_clothing,Fashion & Apparel,112.98,13204.0,48,15,49
prd_00165,fashion_shoes,Shoes & Footwear,94.13,5687.0,41,49,78
prd_00166,sports_leisure,Sports & Leisure,118.02,12062.0,45,12,45
prd_00167,housewares,Housewares,90.14,5201.0,33,5,66
prd_00168,home_appliances,Home Appliances,578.74,3385.0,61,23,59
prd_00169,health_perfumery,Health & Perfumery,53.3,11346.0,35,54,41
prd_00170,sports_leisure,Sports & Leisure,271.79,2301.0,54,72,16
prd_00171,fashion_shoes,Shoes & Footwear,42.59,4220.0,35,33,70
prd_00172,fashion_clothing,Fashion & Apparel,84.18,665.0,61,7,59
prd_00173,sports_leisure,Sports & Leisure,295.12,2319.0,51,73,28
prd_00174,health_perfumery,Health & Perfumery,19.88,13028.0,88,52,54
prd_00175,electronics,Electronics,125.16,14025.0,23,74,26
prd_00176,toys,Toys & Games,138.85,10516.0,13,47,45
prd_00177,electronics,Electronics,372.17,5845.0,69,46,65
prd_00178,housewares,Housewares,48.32,5274.0,15,14,78
prd_00179,toys,Toys & Games,128.35,7957.0,36,66,59
prd_00180,fashion_clothing,Fashion & Apparel,100.15,3432.0,55,25,69
prd_00181,home_appliances,Home Appliances,893.46,8074.0,93,8,12
prd_00182,computers_accessories,Computers & Accessories,1322.02,6126.0,47,30,47
prd_00183,health_perfumery,Health & Perfumery,61.9,10281.0,82,51,79
prd_00184,sports_leisure,Sports & Leisure,273.2,2855.0,60,16,44
prd_00185,books_stationery,Books & Stationery,12.99,12764.0,47,53,41
prd_00186,sports_leisure,Sports & Leisure,73.83,1223.0,57,8,61
prd_00187,electronics,Electronics,635.23,1027.0,78,80,26
prd_00188,fashion_shoes,Shoes & Footwear,113.9,9083.0,93,15,23
prd_00189,electronics,Electronics,796.14,12579.0,99,28,38
prd_00190,housewares,Housewares,122.84,207.0,76,12,44
prd_00191,home_appliances,Home Appliances,922.38,891.0,52,12,54
prd_00192,fashion_clothing,Fashion & Apparel,34.06,11828.0,72,40,30
prd_00193,sports_leisure,Sports & Leisure,258.85,9572.0,85,47,68
prd_00194,electronics,Electronics,433.93,2856.0,22,18,78
prd_00195,telephony,Telephony/Mobile,541.86,2461.0,93,31,62
prd_00196,toys,Toys & Games,69.09,2460.0,54,70,38
prd_00197,fashion_shoes,Shoes & Footwear,167.56,6354.0,35,66,53
prd_00198,housewares,Housewares,49.35,4186.0,42,52,49
prd_00199,beauty_cosmetics,Beauty & Cosmetics,17.13,7145.0,75,23,75
prd_00200,automotive,Automotive Parts,221.66,11459.0,41,30,44
prd_00201,computers_accessories,Computers & Accessories,794.59,10217.0,25,17,37
prd_00202,housewares,Housewares,66.71,4439.0,93,12,32
prd_00203,health_perfumery,Health & Perfumery,103.54,7187.0,53,5,78
prd_00204,sports_leisure,Sports & Leisure,187.55,1575.0,81,15,43
prd_00205,computers_accessories,Computers & Accessories,201.09,3120.0,100,42,34
prd_00206,fashion_clothing,Fashion & Apparel,42.06,1644.0,20,59,45
prd_00207,health_perfumery,Health & Perfumery,58.69,2965.0,59,34,38
prd_00208,sports_leisure,Sports & Leisure,126.74,7602.0,76,48,28
prd_00209,computers_accessories,Computers & Accessories,527.75,1655.0,21,20,73
prd_00210,health_perfumery,Health & Perfumery,67.98,2478.0,89,24,66
prd_00211,fashion_shoes,Shoes & Footwear,111.4,13314.0,89,69,75
prd_00212,computers_accessories,Computers & Accessories,257.78,12409.0,88,77,34
prd_00213,fashion_clothing,Fashion & Apparel,103.43,9977.0,100,61,35
prd_00214,fashion_shoes,Shoes & Footwear,48.11,954.0,24,27,66
prd_00215,electronics,Electronics,281.49,6662.0,69,47,56
prd_00216,electronics,Electronics,210.02,1166.0,86,13,39
prd_00217,health_perfumery,Health & Perfumery,32.96,909.0,90,63,29
prd_00218,telephony,Telephony/Mobile,777.67,7581.0,61,38,70
prd_00219,beauty_cosmetics,Beauty & Cosmetics,50.73,14141.0,21,26,53
prd_00220,sports_leisure,Sports & Leisure,182.75,9276.0,75,62,65
prd_00221,housewares,Housewares,28.94,4999.0,40,16,34
prd_00222,health_perfumery,Health & Perfumery,119.17,12941.0,58,65,68
prd_00223,sports_leisure,Sports & Leisure,239.29,2653.0,96,16,18
prd_00224,sports_leisure,Sports & Leisure,70.49,4706.0,92,37,33
prd_00225,automotive,Automotive Parts,354.94,1836.0,42,23,52
prd_00226,sports_leisure,Sports & Leisure,184.12,7697.0,59,12,77
prd_00227,office_furniture,Office Furniture,448.71,1178.0,12,62,40
prd_00228,telephony,Telephony/Mobile,833.74,2670.0,42,47,61
prd_00229,toys,Toys & Games,71.8,8853.0,69,80,57
prd_00230,home_appliances,Home Appliances,621.84,274.0,53,80,77
prd_00231,sports_leisure,Sports & Leisure,94.73,13611.0,26,28,45
prd_00232,garden_tools,Garden Tools,205.7,1494.0,82,39,47
prd_00233,fashion_shoes,Shoes & Footwear,30.28,2476.0,12,41,31
prd_00234,telephony,Telephony/Mobile,327.48,11524.0,58,35,64
prd_00235,telephony,Telephony/Mobile,365.61,2687.0,62,68,74
prd_00236,fashion_clothing,Fashion & Apparel,87.61,8655.0,38,34,49
prd_00237,telephony,Telephony/Mobile,136.8,13772.0,44,13,72
prd_00238,electronics,Electronics,594.41,5033.0,83,5,44
prd_00239,fashion_shoes,Shoes & Footwear,126.25,8906.0,31,75,58
prd_00240,fashion_clothing,Fashion & Apparel,67.5,7809.0,44,27,79
prd_00241,health_perfumery,Health & Perfumery,72.52,1693.0,35,65,29
prd_00242,housewares,Housewares,15.51,10725.0,71,22,23
prd_00243,electronics,Electronics,673.58,2089.0,35,69,25
prd_00244,computers_accessories,Computers & Accessories,461.58,14490.0,54,15,15
prd_00245,housewares,Housewares,126.81,2130.0,77,60,50
prd_00246,fashion_clothing,Fashion & Apparel,93.18,10959.0,88,28,26
prd_00247,housewares,Housewares,149.87,4403.0,78,40,10
prd_00248,fashion_clothing,Fashion & Apparel,55.42,12788.0,32,34,49
prd_00249,beauty_cosmetics,Beauty & Cosmetics,27.59,12342.0,50,71,60
prd_00250,telephony,Telephony/Mobile,261.41,4750.0,19,70,22
prd_00251,fashion_clothing,Fashion & Apparel,66.29,6687.0,96,58,45
prd_00252,fashion_shoes,Shoes & Footwear,158.09,6927.0,99,73,30
prd_00253,fashion_shoes,Shoes & Footwear,199.03,12827.0,44,10,58
prd_00254,home_appliances,Home Appliances,831.89,8149.0,26,62,61
prd_00255,automotive,Automotive Parts,68.52,10004.0,55,38,32
prd_00256,home_appliances,Home Appliances,569.02,14264.0,40,64,73
prd_00257,telephony,Telephony/Mobile,710.6,428.0,87,25,30
prd_00258,telephony,Telephony/Mobile,930.44,5040.0,22,42,48
prd_00259,health_perfumery,Health & Perfumery,92.63,662.0,48,34,55
prd_00260,home_appliances,Home Appliances,316.58,7123.0,92,32,32
prd_00261,computers_accessories,Computers & Accessories,855.81,8861.0,52,33,44
prd_00262,health_perfumery,Health & Perfumery,95.91,1546.0,34,45,28
prd_00263,telephony,Telephony/Mobile,156.84,6325.0,69,44,23
prd_00264,toys,Toys & Games,127.72,6428.0,80,56,24
prd_00265,fashion_clothing,Fashion & Apparel,83.55,10829.0,98,20,48
prd_00266,books_stationery,Books & Stationery,57.94,10168.0,37,45,58
prd_00267,electronics,Electronics,606.64,12445.0,71,15,44
prd_00268,housewares,Housewares,12.91,3191.0,43,69,60
prd_00269,sports_leisure,Sports & Leisure,161.65,13102.0,73,10,48
prd_00270,electronics,Electronics,168.61,9988.0,79,27,18
prd_00271,health_perfumery,Health & Perfumery,60.41,5420.0,65,40,42
prd_00272,beauty_cosmetics,Beauty & Cosmetics,50.08,12460.0,59,34,57
prd_00273,electronics,Electronics,538.25,897.0,43,19,54
prd_00274,books_stationery,Books & Stationery,58.75,513.0,47,7,70
prd_00275,fashion_clothing,Fashion & Apparel,31.5,12118.0,18,69,66
prd_00276,fashion_shoes,Shoes & Footwear,152.19,9779.0,27,80,58
prd_00277,telephony,Telephony/Mobile,156.34,12722.0,82,20,17
prd_00278,books_stationery,Books & Stationery,16.04,2920.0,69,49,14
prd_00279,electronics,Electronics,52.12,5262.0,77,21,66
prd_00280,fashion_clothing,Fashion & Apparel,85.58,10925.0,65,44,20
prd_00281,fashion_clothing,Fashion & Apparel,35.66,6836.0,35,11,52
prd_00282,telephony,Telephony/Mobile,991.18,4109.0,76,71,70
prd_00283,beauty_cosmetics,Beauty & Cosmetics,71.65,10577.0,35,34,25
prd_00284,health_perfumery,Health & Perfumery,16.39,9795.0,49,6,40
prd_00285,housewares,Housewares,120.69,11154.0,10,11,52
prd_00286,sports_leisure,Sports & Leisure,225.94,1520.0,30,7,70
prd_00287,computers_accessories,Computers & Accessories,1069.25,13240.0,68,39,13
prd_00288,fashion_shoes,Shoes & Footwear,88.19,1838.0,61,68,37
prd_00289,health_perfumery,Health & Perfumery,109.37,11506.0,51,44,74
prd_00290,books_stationery,Books & Stationery,44.06,292.0,27,34,41
prd_00291,beauty_cosmetics,Beauty & Cosmetics,69.39,2602.0,97,68,75
prd_00292,electronics,Electronics,284.98,10039.0,28,49,16
prd_00293,fashion_shoes,Shoes & Footwear,91.5,7342.0,82,46,22
prd_00294,home_appliances,Home Appliances,528.48,6140.0,70,32,23
prd_00295,fashion_clothing,Fashion & Apparel,18.93,13479.0,98,41,12
prd_00296,home_appliances,Home Appliances,396.06,7331.0,35,59,29
prd_00297,electronics,Electronics,481.14,1341.0,100,47,24
prd_00298,fashion_clothing,Fashion & Apparel,55.83,1515.0,96,30,36
prd_00299,computers_accessories,Computers & Accessories,779.46,4771.0,37,50,19
prd_00300,books_stationery,Books & Stationery,9.26,7071.0,29,40,49
prd_00301,telephony,Telephony/Mobile,498.95,8931.0,22,68,75
prd_00302,books_stationery,Books & Stationery,40.83,4781.0,45,68,28
prd_00303,office_furniture,Office Furniture,341.43,9252.0,11,8,12
prd_00304,electronics,Electronics,374.39,5870.0,73,6,77
prd_00305,electronics,Electronics,194.76,13405.0,58,17,16
prd_00306,electronics,Electronics,66.91,4461.0,15,17,53
prd_00307,home_appliances,Home Appliances,950.18,7802.0,83,53,50
prd_00308,fashion_shoes,Shoes & Footwear,122.26,5780.0,30,47,27
prd_00309,computers_accessories,Computers & Accessories,209.32,413.0,60,52,45
prd_00310,automotive,Automotive Parts,127.51,3402.0,45,47,13
prd_00311,telephony,Telephony/Mobile,620.64,3317.0,43,22,38
prd_00312,sports_leisure,Sports & Leisure,36.85,7433.0,65,75,71
prd_00313,sports_leisure,Sports & Leisure,22.63,5257.0,75,15,51
prd_00314,fashion_clothing,Fashion & Apparel,51.62,8459.0,67,61,20
prd_00315,home_appliances,Home Appliances,980.56,9423.0,78,47,27
prd_00316,fashion_clothing,Fashion & Apparel,35.58,9332.0,16,74,58
prd_00317,beauty_cosmetics,Beauty & Cosmetics,21.15,5487.0,81,14,65
prd_00318,home_appliances,Home Appliances,881.23,6169.0,69,39,60
prd_00319,health_perfumery,Health & Perfumery,111.42,8905.0,59,63,69
prd_00320,housewares,Housewares,36.99,9708.0,95,27,15
prd_00321,telephony,Telephony/Mobile,735.38,5066.0,99,29,46
prd_00322,beauty_cosmetics,Beauty & Cosmetics,25.55,14933.0,78,6,64
prd_00323,garden_tools,Garden Tools,108.8,13325.0,36,61,66
prd_00324,beauty_cosmetics,Beauty & Cosmetics,58.99,4179.0,12,67,12
prd_00325,beauty_cosmetics,Beauty & Cosmetics,10.07,12879.0,48,19,32
prd_00326,home_appliances,Home Appliances,161.7,14228.0,81,80,52
prd_00327,electronics,Electronics,493.89,9485.0,95,22,31
prd_00328,fashion_clothing,Fashion & Apparel,98.54,5681.0,74,22,27
prd_00329,sports_leisure,Sports & Leisure,262.97,2727.0,12,44,34
prd_00330,books_stationery,Books & Stationery,15.29,4631.0,88,41,14
prd_00331,fashion_clothing,Fashion & Apparel,15.93,11316.0,69,74,58
prd_00332,health_perfumery,Health & Perfumery,18.8,2844.0,22,40,41
prd_00333,health_perfumery,Health & Perfumery,23.06,9304.0,27,21,18
prd_00334,beauty_cosmetics,Beauty & Cosmetics,46.48,3284.0,95,24,51
prd_00335,fashion_clothing,Fashion & Apparel,65.94,8093.0,19,72,14
prd_00336,health_perfumery,Health & Perfumery,59.04,13365.0,86,80,72
prd_00337,health_perfumery,Health & Perfumery,90.03,13110.0,15,26,52
prd_00338,electronics,Electronics,589.02,7359.0,60,25,58
prd_00339,housewares,Housewares,141.51,4833.0,99,24,44
prd_00340,fashion_clothing,Fashion & Apparel,68.06,4140.0,49,39,72
prd_00341,fashion_clothing,Fashion & Apparel,32.86,9980.0,86,13,49
prd_00342,electronics,Electronics,664.12,9187.0,73,58,38
prd_00343,fashion_shoes,Shoes & Footwear,82.37,4036.0,83,6,52
prd_00344,fashion_clothing,Fashion & Apparel,103.01,11907.0,32,29,37
prd_00345,toys,Toys & Games,141.85,9786.0,14,31,68
prd_00346,fashion_clothing,Fashion & Apparel,16.02,11089.0,15,55,19
prd_00347,office_furniture,Office Furniture,238.26,13730.0,68,71,22
prd_00348,telephony,Telephony/Mobile,202.36,14763.0,79,14,68
prd_00349,automotive,Automotive Parts,55.14,12340.0,58,71,70
prd_00350,beauty_cosmetics,Beauty & Cosmetics,22.47,1973.0,26,71,34
prd_00351,telephony,Telephony/Mobile,960.35,13276.0,82,41,28
prd_00352,electronics,Electronics,334.0,10058.0,69,14,10
prd_00353,computers_accessories,Computers & Accessories,754.54,2042.0,75,18,56
prd_00354,electronics,Electronics,566.18,1217.0,75,37,68
prd_00355,electronics,Electronics,733.43,3505.0,55,30,16
prd_00356,fashion_clothing,Fashion & Apparel,50.77,3800.0,36,60,53
prd_00357,sports_leisure,Sports & Leisure,281.52,2594.0,24,8,21
prd_00358,fashion_shoes,Shoes & Footwear,109.99,10164.0,88,60,39
prd_00359,sports_leisure,Sports & Leisure,61.42,9423.0,37,21,79
prd_00360,health_perfumery,Health & Perfumery,50.68,4234.0,45,31,14
prd_00361,fashion_clothing,Fashion & Apparel,91.87,12998.0,17,70,66
prd_00362,fashion_clothing,Fashion & Apparel,111.52,579.0,43,37,20
prd_00363,health_perfumery,Health & Perfumery,51.06,14282.0,48,23,68
prd_00364,housewares,Housewares,81.79,6173.0,93,50,46
prd_00365,health_perfumery,Health & Perfumery,87.53,9510.0,67,27,27
prd_00366,health_perfumery,Health & Perfumery,29.42,2453.0,57,77,43
prd_00367,fashion_shoes,Shoes & Footwear,57.49,2689.0,51,50,10
prd_00368,fashion_clothing,Fashion & Apparel,31.02,12140.0,31,42,47
prd_00369,home_appliances,Home Appliances,764.79,2770.0,51,64,73
prd_00370,fashion_clothing,Fashion & Apparel,105.63,4242.0,20,31,21
prd_00371,fashion_clothing,Fashion & Apparel,61.1,7241.0,89,13,63
prd_00372,beauty_cosmetics,Beauty & Cosmetics,30.18,8472.0,75,69,60
prd_00373,electronics,Electronics,53.74,2998.0,34,37,26
prd_00374,electronics,Electronics,577.69,12726.0,87,17,68
prd_00375,electronics,Electronics,728.82,14663.0,73,24,28
prd_00376,health_perfumery,Health & Perfumery,38.31,345.0,49,45,80
prd_00377,fashion_clothing,Fashion & Apparel,95.38,4930.0,93,80,70
prd_00378,telephony,Telephony/Mobile,941.38,1272.0,79,47,71
prd_00379,housewares,Housewares,71.25,3693.0,89,76,50
prd_00380,computers_accessories,Computers & Accessories,1403.29,13698.0,13,16,62
prd_00381,home_appliances,Home Appliances,794.11,11695.0,14,9,62
prd_00382,fashion_clothing,Fashion & Apparel,84.48,6158.0,30,74,73
prd_00383,fashion_clothing,Fashion & Apparel,16.64,7586.0,47,62,22
prd_00384,fashion_shoes,Shoes & Footwear,140.23,3237.0,46,13,46
prd_00385,fashion_shoes,Shoes & Footwear,127.5,9346.0,96,32,55
prd_00386,fashion_shoes,Shoes & Footwear,113.0,14152.0,55,37,52
prd_00387,sports_leisure,Sports & Leisure,15.29,13517.0,22,39,38
prd_00388,fashion_clothing,Fashion & Apparel,49.66,250.0,31,25,62
prd_00389,telephony,Telephony/Mobile,319.4,5018.0,67,7,64
prd_00390,books_stationery,Books & Stationery,55.43,10104.0,53,60,80
prd_00391,fashion_shoes,Shoes & Footwear,122.96,130.0,72,68,43
