product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_base_price
prd_00101,computers_accessories,36,624,4,4887,34,79,30,376.04
prd_00102,health_perfumery,53,560,8,12070,93,17,10,15.12
prd_00103,electronics,59,820,7,8869,90,52,57,246.6
prd_00104,sports_leisure,37,542,2,4154,35,73,72,249.69
prd_00105,sports_leisure,53,416,3,603,37,16,57,177.11
prd_00106,fashion_clothing,55,337,2,14397,43,24,38,21.87
prd_00107,health_perfumery,22,873,2,9869,32,40,70,48.04
prd_00108,fashion_clothing,53,448,5,11586,93,62,33,70.28
prd_00109,toys,21,990,8,8657,87,44,19,75.5
prd_00110,fashion_shoes,20,847,7,9841,70,15,39,53.69
prd_00111,sports_leisure,31,885,7,7724,98,77,25,124.1
prd_00112,fashion_shoes,30,736,8,9904,79,74,29,174.61
prd_00113,beauty_cosmetics,49,560,7,7168,94,11,77,17.18
prd_00114,office_furniture,45,522,3,5665,96,44,74,263.32
prd_00115,home_appliances,41,818,3,13038,18,70,22,577.78
prd_00116,fashion_clothing,57,404,2,4870,37,34,50,78.21
prd_00117,electronics,51,562,6,661,77,31,70,585.41
prd_00118,fashion_clothing,52,329,4,9567,89,34,59,114.25
prd_00119,electronics,34,276,7,9798,34,33,55,547.78
prd_00120,electronics,33,312,8,9408,20,65,55,95.91
prd_00121,computers_accessories,20,765,3,9574,97,79,39,806.78
prd_00122,fashion_shoes,50,620,2,13038,18,28,73,173.13
prd_00123,sports_leisure,23,680,6,11658,54,80,32,200.82
prd_00124,home_appliances,32,230,7,3147,73,6,32,919.62
prd_00125,electronics,49,952,1,808,41,14,62,292.38
prd_00126,housewares,55,572,8,8672,86,11,70,27.03
prd_00127,electronics,47,771,7,8944,50,74,78,733.11
prd_00128,electronics,22,420,6,12776,42,51,55,709.97
prd_00129,fashion_clothing,52,805,5,7527,65,45,73,17.84
prd_00130,home_appliances,57,749,4,11121,85,79,67,460.69
prd_00131,office_furniture,53,986,8,8151,31,70,68,241.25
prd_00132,telephony,25,851,5,4148,95,7,73,351.18
prd_00133,electronics,49,952,2,8032,62,38,71,375.06
prd_00134,beauty_cosmetics,33,472,5,1601,50,13,39,47.24
prd_00135,beauty_cosmetics,41,247,8,6740,95,26,55,54.04
prd_00136,health_perfumery,50,383,8,13798,76,68,75,34.63
prd_00137,computers_accessories,39,943,8,4412,35,50,39,1249.13
prd_00138,electronics,27,784,2,7996,97,16,51,606.72
prd_00139,computers_accessories,36,827,8,5850,98,34,22,662.45
prd_00140,electronics,25,589,1,3079,92,42,34,261.85
prd_00141,electronics,21,534,7,8505,20,51,19,214.1
prd_00142,housewares,48,727,2,13403,78,14,25,50.24
prd_00143,fashion_shoes,51,976,6,656,32,80,27,164.15
prd_00144,housewares,34,745,6,2148,46,51,17,67.58
prd_00145,computers_accessories,37,339,4,8495,18,21,63,719.4
prd_00146,office_furniture,40,845,8,5420,22,76,20,282.79
prd_00147,beauty_cosmetics,50,928,3,13849,25,79,40,25.06
prd_00148,home_appliances,21,536,5,6186,81,14,14,522.99
prd_00149,electronics,34,959,4,6138,98,78,11,461.09
prd_00150,computers_accessories,20,214,5,7835,77,59,41,352.73
prd_00151,computers_accessories,37,810,5,1646,71,66,37,204.76
prd_00152,toys,51,205,6,4557,12,70,10,147.59
prd_00153,computers_accessories,37,400,2,6223,16,37,66,194.28
prd_00154,electronics,46,954,7,275,82,21,11,570.59
prd_00155,books_stationery,28,127,1,2559,66,64,59,31.51
prd_00156,housewares,23,289,8,4113,59,59,79,122.22
prd_00157,toys,53,605,7,6452,45,42,19,101.37
prd_00158,electronics,53,359,5,12657,65,17,37,742.97
prd_00159,toys,54,869,7,13229,63,53,79,46.69
prd_00160,books_stationery,38,567,8,1414,32,20,42,40.42
prd_00161,fashion_clothing,23,339,3,4709,69,43,68,83.93
prd_00162,telephony,51,763,7,11847,96,40,76,473.61
prd_00163,health_perfumery,50,518,4,11183,82,53,45,95.85
prd_00164,fashion_clothing,24,282,5,13204,48,15,49,112.98
prd_00165,fashion_shoes,57,311,1,5687,41,49,78,94.13
prd_00166,sports_leisure,33,962,8,12062,45,12,45,118.02
prd_00167,housewares,45,143,5,5201,33,5,66,90.14
prd_00168,home_appliances,50,375,6,3385,61,23,59,578.74
prd_00169,health_perfumery,27,616,3,11346,35,54,41,53.3
prd_00170,sports_leisure,43,437,3,2301,54,72,16,271.79
prd_00171,fashion_shoes,30,923,6,4220,35,33,70,42.59
prd_00172,fashion_clothing,59,997,8,665,61,7,59,84.18
prd_00173,sports_leisure,49,333,5,2319,51,73,28,295.12
prd_00174,health_perfumery,24,983,6,13028,88,52,54,19.88
prd_00175,electronics,20,636,2,14025,23,74,26,125.16
prd_00176,toys,44,446,5,10516,13,47,45,138.85
prd_00177,electronics,40,591,6,5845,69,46,65,372.17
prd_00178,housewares,41,892,4,5274,15,14,78,48.32
prd_00179,toys,33,569,8,7957,36,66,59,128.35
prd_00180,fashion_clothing,58,398,1,3432,55,25,69,100.15
prd_00181,home_appliances,54,320,7,8074,93,8,12,893.46
prd_00182,computers_accessories,43,354,8,6126,47,30,47,1322.02
prd_00183,health_perfumery,54,354,4,10281,82,51,79,61.9
prd_00184,sports_leisure,45,701,8,2855,60,16,44,273.2
prd_00185,books_stationery,48,143,8,12764,47,53,41,12.99
prd_00186,sports_leisure,26,618,3,1223,57,8,61,73.83
prd_00187,electronics,36,906,3,1027,78,80,26,635.23
prd_00188,fashion_shoes,49,293,8,9083,93,15,23,113.9
prd_00189,electronics,54,775,4,12579,99,28,38,796.14
prd_00190,housewares,45,907,2,207,76,12,44,122.84
prd_00191,home_appliances,33,926,7,891,52,12,54,922.38
prd_00192,fashion_clothing,24,951,6,11828,72,40,30,34.06
prd_00193,sports_leisure,30,164,7,9572,85,47,68,258.85
prd_00194,electronics,27,324,6,2856,22,18,78,433.93
prd_00195,telephony,33,148,2,2461,93,31,62,541.86
prd_00196,toys,58,412,3,2460,54,70,38,69.09
prd_00197,fashion_shoes,38,144,7,6354,35,66,53,167.56
prd_00198,housewares,40,522,6,4186,42,52,49,49.35
prd_00199,beauty_cosmetics,55,500,6,7145,75,23,75,17.13
prd_00200,automotive,39,840,2,11459,41,30,44,221.66
prd_00201,computers_accessories,48,831,1,10217,25,17,37,794.59
prd_00202,housewares,41,683,8,4439,93,12,32,66.71
prd_00203,health_perfumery,40,676,6,7187,53,5,78,103.54
prd_00204,sports_leisure,40,230,8,1575,81,15,43,187.55
prd_00205,computers_accessories,53,324,5,3120,100,42,34,201.09
prd_00206,fashion_clothing,36,525,2,1644,20,59,45,42.06
prd_00207,health_perfumery,57,800,2,2965,59,34,38,58.69
prd_00208,sports_leisure,41,304,2,7602,76,48,28,126.74
prd_00209,computers_accessories,27,966,5,1655,21,20,73,527.75
prd_00210,health_perfumery,47,176,4,2478,89,24,66,67.98
prd_00211,fashion_shoes,45,415,3,13314,89,69,75,111.4
prd_00212,computers_accessories,46,556,6,12409,88,77,34,257.78
prd_00213,fashion_clothing,26,497,4,9977,100,61,35,103.43
prd_00214,fashion_shoes,52,386,2,954,24,27,66,48.11
prd_00215,electronics,46,868,4,6662,69,47,56,281.49
prd_00216,electronics,28,338,7,1166,86,13,39,210.02
prd_00217,health_perfumery,38,144,7,909,90,63,29,32.96
prd_00218,telephony,50,332,2,7581,61,38,70,777.67
prd_00219,beauty_cosmetics,25,761,2,14141,21,26,53,50.73
prd_00220,sports_leisure,54,719,2,9276,75,62,65,182.75
prd_00221,housewares,52,764,8,4999,40,16,34,28.94
prd_00222,health_perfumery,27,431,1,12941,58,65,68,119.17
prd_00223,sports_leisure,20,175,4,2653,96,16,18,239.29
prd_00224,sports_leisure,32,794,7,4706,92,37,33,70.49
prd_00225,automotive,39,608,1,1836,42,23,52,354.94
prd_00226,sports_leisure,44,651,1,7697,59,12,77,184.12
prd_00227,office_furniture,49,860,7,1178,12,62,40,448.71
prd_00228,telephony,55,739,3,2670,42,47,61,833.74
prd_00229,toys,45,340,3,8853,69,80,57,71.8
prd_00230,home_appliances,24,236,2,274,53,80,77,621.84
prd_00231,sports_leisure,29,732,2,13611,26,28,45,94.73
prd_00232,garden_tools,25,273,5,1494,82,39,47,205.7
prd_00233,fashion_shoes,42,189,8,2476,12,41,31,30.28
prd_00234,telephony,53,755,3,11524,58,35,64,327.48
prd_00235,telephony,55,685,6,2687,62,68,74,365.61
prd_00236,fashion_clothing,31,266,6,8655,38,34,49,87.61
prd_00237,telephony,54,620,2,13772,44,13,72,136.8
prd_00238,electronics,33,777,5,5033,83,5,44,594.41
prd_00239,fashion_shoes,54,758,5,8906,31,75,58,126.25
prd_00240,fashion_clothing,21,213,5,7809,44,27,79,67.5
prd_00241,health_perfumery,59,308,3,1693,35,65,29,72.52
prd_00242,housewares,33,549,8,10725,71,22,23,15.51
prd_00243,electronics,45,949,8,2089,35,69,25,673.58
prd_00244,computers_accessories,38,884,5,14490,54,15,15,461.58
prd_00245,housewares,30,134,4,2130,77,60,50,126.81
prd_00246,fashion_clothing,31,506,1,10959,88,28,26,93.18
prd_00247,housewares,41,488,1,4403,78,40,10,149.87
prd_00248,fashion_clothing,60,623,3,12788,32,34,49,55.42
prd_00249,beauty_cosmetics,45,777,7,12342,50,71,60,27.59
prd_00250,telephony,56,432,7,4750,19,70,22,261.41
prd_00251,fashion_clothing,27,335,7,6687,96,58,45,66.29
prd_00252,fashion_shoes,56,324,4,6927,99,73,30,158.09
prd_00253,fashion_shoes,40,805,6,12827,44,10,58,199.03
prd_00254,home_appliances,56,187,3,8149,26,62,61,831.89
prd_00255,automotive,55,988,1,10004,55,38,32,68.52
prd_00256,home_appliances,53,858,6,14264,40,64,73,569.02
prd_00257,telephony,32,134,7,428,87,25,30,710.6
prd_00258,telephony,57,750,3,5040,22,42,48,930.44
prd_00259,health_perfumery,50,335,3,662,48,34,55,92.63
prd_00260,home_appliances,30,629,7,7123,92,32,32,316.58
prd_00261,computers_accessories,58,820,5,8861,52,33,44,855.81
prd_00262,health_perfumery,57,545,7,1546,34,45,28,95.91
prd_00263,telephony,26,656,2,6325,69,44,23,156.84
prd_00264,toys,40,777,4,6428,80,56,24,127.72
prd_00265,fashion_clothing,35,716,8,10829,98,20,48,83.55
prd_00266,books_stationery,48,543,5,10168,37,45,58,57.94
prd_00267,electronics,25,816,8,12445,71,15,44,606.64
prd_00268,housewares,29,328,4,3191,43,69,60,12.91
prd_00269,sports_leisure,23,540,2,13102,73,10,48,161.65
prd_00270,electronics,51,548,8,9988,79,27,18,168.61
prd_00271,health_perfumery,50,780,4,5420,65,40,42,60.41
prd_00272,beauty_cosmetics,44,846,7,12460,59,34,57,50.08
prd_00273,electronics,33,538,6,897,43,19,54,538.25
prd_00274,books_stationery,59,777,2,513,47,7,70,58.75
prd_00275,fashion_clothing,27,398,8,12118,18,69,66,31.5
prd_00276,fashion_shoes,24,345,2,9779,27,80,58,152.19
prd_00277,telephony,50,431,7,12722,82,20,17,156.34
prd_00278,books_stationery,30,398,8,2920,69,49,14,16.04
prd_00279,electronics,58,323,5,5262,77,21,66,52.12
prd_00280,fashion_clothing,29,281,2,10925,65,44,20,85.58
prd_00281,fashion_clothing,51,613,6,6836,35,11,52,35.66
prd_00282,telephony,22,314,1,4109,76,71,70,991.18
prd_00283,beauty_cosmetics,28,855,2,10577,35,34,25,71.65
prd_00284,health_perfumery,28,760,5,9795,49,6,40,16.39
prd_00285,housewares,45,866,3,11154,10,11,52,120.69
prd_00286,sports_leisure,33,929,4,1520,30,7,70,225.94
prd_00287,computers_accessories,46,932,6,13240,68,39,13,1069.25
prd_00288,fashion_shoes,28,279,8,1838,61,68,37,88.19
prd_00289,health_perfumery,39,217,2,11506,51,44,74,109.37
prd_00290,books_stationery,29,721,6,292,27,34,41,44.06
prd_00291,beauty_cosmetics,27,735,2,2602,97,68,75,69.39
prd_00292,electronics,57,997,2,10039,28,49,16,284.98
prd_00293,fashion_shoes,48,350,6,7342,82,46,22,91.5
prd_00294,home_appliances,21,151,6,6140,70,32,23,528.48
prd_00295,fashion_clothing,30,613,1,13479,98,41,12,18.93
prd_00296,home_appliances,47,201,8,7331,35,59,29,396.06
prd_00297,electronics,47,740,7,1341,100,47,24,481.14
prd_00298,fashion_clothing,46,582,8,1515,96,30,36,55.83
prd_00299,computers_accessories,25,338,2,4771,37,50,19,779.46
prd_00300,books_stationery,20,965,5,7071,29,40,49,9.26
prd_00301,telephony,35,576,3,8931,22,68,75,498.95
prd_00302,books_stationery,26,128,2,4781,45,68,28,40.83
prd_00303,office_furniture,44,936,7,9252,11,8,12,341.43
prd_00304,electronics,53,922,5,5870,73,6,77,374.39
prd_00305,electronics,42,736,1,13405,58,17,16,194.76
prd_00306,electronics,27,430,2,4461,15,17,53,66.91
prd_00307,home_appliances,23,519,4,7802,83,53,50,950.18
prd_00308,fashion_shoes,50,496,8,5780,30,47,27,122.26
prd_00309,computers_accessories,34,546,3,413,60,52,45,209.32
prd_00310,automotive,36,222,1,3402,45,47,13,127.51
prd_00311,telephony,33,477,6,3317,43,22,38,620.64
prd_00312,sports_leisure,34,781,6,7433,65,75,71,36.85
prd_00313,sports_leisure,43,301,6,5257,75,15,51,22.63
prd_00314,fashion_clothing,23,387,5,8459,67,61,20,51.62
prd_00315,home_appliances,31,458,6,9423,78,47,27,980.56
prd_00316,fashion_clothing,44,716,1,9332,16,74,58,35.58
prd_00317,beauty_cosmetics,20,432,6,5487,81,14,65,21.15
prd_00318,home_appliances,40,986,6,6169,69,39,60,881.23
prd_00319,health_perfumery,52,575,6,8905,59,63,69,111.42
prd_00320,housewares,59,568,3,9708,95,27,15,36.99
prd_00321,telephony,56,312,6,5066,99,29,46,735.38
prd_00322,beauty_cosmetics,36,195,7,14933,78,6,64,25.55
prd_00323,garden_tools,56,303,6,13325,36,61,66,108.8
prd_00324,beauty_cosmetics,59,965,1,4179,12,67,12,58.99
prd_00325,beauty_cosmetics,37,215,3,12879,48,19,32,10.07
prd_00326,home_appliances,49,635,4,14228,81,80,52,161.7
prd_00327,electronics,35,105,8,9485,95,22,31,493.89
prd_00328,fashion_clothing,53,145,7,5681,74,22,27,98.54
prd_00329,sports_leisure,35,950,7,2727,12,44,34,262.97
prd_00330,books_stationery,47,705,4,4631,88,41,14,15.29
prd_00331,fashion_clothing,53,594,3,11316,69,74,58,15.93
prd_00332,health_perfumery,43,744,6,2844,22,40,41,18.8
prd_00333,health_perfumery,60,534,8,9304,27,21,18,23.06
prd_00334,beauty_cosmetics,23,292,3,3284,95,24,51,46.48
prd_00335,fashion_clothing,57,640,5,8093,19,72,14,65.94
prd_00336,health_perfumery,58,307,3,13365,86,80,72,59.04
prd_00337,health_perfumery,46,237,7,13110,15,26,52,90.03
prd_00338,electronics,40,928,6,7359,60,25,58,589.02
prd_00339,housewares,36,218,7,4833,99,24,44,141.51
prd_00340,fashion_clothing,54,353,3,4140,49,39,72,68.06
prd_00341,fashion_clothing,36,296,1,9980,86,13,49,32.86
prd_00342,electronics,45,948,5,9187,73,58,38,664.12
prd_00343,fashion_shoes,51,419,5,4036,83,6,52,82.37
prd_00344,fashion_clothing,34,546,5,11907,32,29,37,103.01
prd_00345,toys,20,353,1,9786,14,31,68,141.85
prd_00346,fashion_clothing,26,280,6,11089,15,55,19,16.02
prd_00347,office_furniture,47,620,7,13730,68,71,22,238.26
prd_00348,telephony,28,239,3,14763,79,14,68,202.36
prd_00349,automotive,39,229,4,12340,58,71,70,55.14
prd_00350,beauty_cosmetics,26,939,5,1973,26,71,34,22.47
prd_00351,telephony,43,899,3,13276,82,41,28,960.35
prd_00352,electronics,48,183,5,10058,69,14,10,334.0
prd_00353,computers_accessories,29,163,5,2042,75,18,56,754.54
prd_00354,electronics,55,535,3,1217,75,37,68,566.18
prd_00355,electronics,46,656,3,3505,55,30,16,733.43
prd_00356,fashion_clothing,54,645,7,3800,36,60,53,50.77
prd_00357,sports_leisure,27,360,3,2594,24,8,21,281.52
prd_00358,fashion_shoes,51,505,1,10164,88,60,39,109.99
prd_00359,sports_leisure,29,631,1,9423,37,21,79,61.42
prd_00360,health_perfumery,38,688,2,4234,45,31,14,50.68
prd_00361,fashion_clothing,31,440,8,12998,17,70,66,91.87
prd_00362,fashion_clothing,22,921,5,579,43,37,20,111.52
prd_00363,health_perfumery,53,402,2,14282,48,23,68,51.06
prd_00364,housewares,41,332,5,6173,93,50,46,81.79
prd_00365,health_perfumery,50,554,6,9510,67,27,27,87.53
prd_00366,health_perfumery,59,459,6,2453,57,77,43,29.42
prd_00367,fashion_shoes,56,909,8,2689,51,50,10,57.49
prd_00368,fashion_clothing,29,883,1,12140,31,42,47,31.02
prd_00369,home_appliances,60,857,4,2770,51,64,73,764.79
prd_00370,fashion_clothing,43,699,7,4242,20,31,21,105.63
prd_00371,fashion_clothing,45,301,8,7241,89,13,63,61.1
prd_00372,beauty_cosmetics,29,461,5,8472,75,69,60,30.18
prd_00373,electronics,39,956,5,2998,34,37,26,53.74
prd_00374,electronics,28,396,5,12726,87,17,68,577.69
prd_00375,electronics,28,280,5,14663,73,24,28,728.82
prd_00376,health_perfumery,26,648,2,345,49,45,80,38.31
prd_00377,fashion_clothing,54,197,4,4930,93,80,70,95.38
prd_00378,telephony,29,987,5,1272,79,47,71,941.38
prd_00379,housewares,49,748,5,3693,89,76,50,71.25
prd_00380,computers_accessories,35,219,6,13698,13,16,62,1403.29
prd_00381,home_appliances,42,325,2,11695,14,9,62,794.11
prd_00382,fashion_clothing,50,583,5,6158,30,74,73,84.48
prd_00383,fashion_clothing,44,890,5,7586,47,62,22,16.64
prd_00384,fashion_shoes,28,834,5,3237,46,13,46,140.23
prd_00385,fashion_shoes,46,224,7,9346,96,32,55,127.5
prd_00386,fashion_shoes,54,308,4,14152,55,37,52,113.0
prd_00387,sports_leisure,34,197,8,13517,22,39,38,15.29
prd_00388,fashion_clothing,48,615,3,250,31,25,62,49.66
prd_00389,telephony,48,356,8,5018,67,7,64,319.4
prd_00390,books_stationery,46,155,2,10104,53,60,80,55.43
prd_00391,fashion_shoes,28,990,2,130,72,68,43,122.96
prd_00392,fashion_clothing,29,874,7,7382,41,75,57,101.25
prd_00393,garden_tools,39,845,7,3445,13,11,70,141.27
prd_00394,toys,26,412,3,6316,43,6,60,96.55
prd_00395,health_perfumery,42,908,2,12416,43,56,62,30.64
prd_00396,beauty_cosmetics,30,883,3,13370,80,23,27,97.09
prd_00397,fashion_shoes,21,392,6,11811,68,59,61,90.44
prd_00398,electronics,57,897,5,4387,23,64,13,164.42
prd_00399,beauty_cosmetics,40,291,4,3360,28,36,71,60.39
prd_00400,electronics,22,529,5,3314,23,27,22,305.38
prd_00401,computers_accessories,27,916,8,5652,74,14,67,1055.22
prd_00402,fashion_shoes,36,964,4,6094,99,32,15,121.95
prd_00403,books_stationery,47,721,6,4463,23,18,51,59.58
prd_00404,automotive,37,680,8,5411,29,58,67,29.55
prd_00405,books_stationery,47,822,8,10948,49,20,58,10.56
prd_00406,electronics,22,821,2,7831,12,66,62,75.89
prd_00407,beauty_cosmetics,52,454,7,4645,20,10,31,49.79
prd_00408,computers_accessories,31,921,6,3896,42,57,78,713.68
prd_00409,housewares,46,817,7,2003,86,44,19,18.01
prd_00410,fashion_shoes,60,889,4,13171,32,10,57,178.07
prd_00411,health_perfumery,40,484,2,629,71,54,21,17.57
prd_00412,electronics,47,313,1,13742,58,49,42,752.5
prd_00413,telephony,51,937,1,14513,92,29,45,540.43
prd_00414,electronics,53,700,1,13872,98,48,43,564.99
prd_00415,home_appliances,41,559,1,10540,80,17,52,589.27
prd_00416,office_furniture,39,543,6,5103,29,72,13,159.49
prd_00417,sports_leisure,40,275,3,4469,12,38,17,232.33
prd_00418,beauty_cosmetics,54,630,7,2523,47,55,33,78.45
prd_00419,sports_leisure,39,874,1,6602,70,49,36,105.15
prd_00420,health_perfumery,35,931,8,8321,60,9,19,90.53
prd_00421,telephony,25,193,8,14283,81,61,16,232.6
prd_00422,electronics,37,147,5,1668,84,60,22,69.93
prd_00423,books_stationery,20,560,4,6483,47,48,51,50.95
prd_00424,toys,48,402,2,-11192,76,20,74,98.73
prd_00425,fashion_shoes,27,925,1,7667,48,34,74,51.11
prd_00426,books_stationery,59,590,4,5213,17,39,14,10.5
prd_00427,electronics,39,868,3,1640,44,75,76,100.49
prd_00428,telephony,23,311,4,9658,15,14,35,791.78
prd_00429,computers_accessories,31,147,8,11019,35,43,21,547.26
prd_00430,telephony,37,264,7,3280,92,21,76,814.97
prd_00431,telephony,59,491,3,150,84,50,26,129.53
prd_00432,electronics,35,365,2,13516,27,65,51,352.12
prd_00433,computers_accessories,36,854,6,284,47,70,51,521.14
prd_00434,fashion_clothing,24,583,7,11138,30,52,69,90.99
prd_00435,toys,24,407,5,1653,45,53,28,115.91
prd_00436,fashion_clothing,60,687,2,6807,85,13,52,88.01
prd_00437,telephony,60,577,6,9794,33,76,61,82.14
prd_00438,automotive,28,461,4,2748,55,40,54,43.08
prd_00439,electronics,36,303,3,3858,19,79,60,99.43
prd_00440,fashion_shoes,26,486,1,12231,20,27,74,123.32
prd_00441,fashion_clothing,53,622,2,6236,87,26,11,46.06
prd_00442,housewares,39,679,6,11451,94,62,47,47.71
prd_00443,home_appliances,46,963,1,183,71,55,80,343.71
prd_00444,housewares,44,783,7,6911,77,12,59,144.89
prd_00445,fashion_shoes,40,704,6,2806,15,55,59,68.6
