product_id,revenue,cumulative_revenue,cumulative_pct,class
prd_00228,56819.36,25312084.89,66.03,A
prd_00115,56189.03,25368273.92,66.18,A
prd_00030,54345.92,25422619.84,66.32,A
prd_00258,53360.73,25475980.57,66.46,A
prd_00039,53291.96,25529272.53,66.6,A
prd_00020,51907.14,25581179.67,66.73,A
prd_00148,51749.82,25632929.49,66.87,A
prd_00008,51482.6,25684412.09,67.0,A
prd_00056,51313.07,25735725.16,67.13,A
prd_00015,49544.37,25785269.53,67.26,A
prd_00162,49231.81,25834501.34,67.39,A
prd_00218,48837.71,25883339.05,67.52,A
prd_00044,48795.3,25932134.35,67.65,A
prd_00093,48158.48,25980292.83,67.77,A
prd_00029,48048.91,26028341.74,67.9,A
prd_00101,46892.23,26075233.97,68.02,A
prd_00307,46321.23,26121555.2,68.14,A
prd_00261,46170.97,26167726.17,68.26,A
prd_00027,45803.52,26213529.69,68.38,A
prd_00401,45216.22,26258745.91,68.5,A
prd_00315,44027.11,26302773.02,68.61,A
prd_00168,43260.8,26346033.82,68.73,A
prd_00019,42976.14,26389009.96,68.84,A
prd_00351,42351.43,26431361.39,68.95,A
prd_00187,41893.47,26473254.86,69.06,A
prd_00154,41881.27,26515136.13,69.17,A
prd_00528,41746.58,26556882.71,69.28,A
prd_00052,41081.95,26597964.66,69.38,A
prd_00318,40933.15,26638897.81,69.49,A
prd_00209,40689.55,26679587.36,69.6,A
prd_00149,40668.21,26720255.57,69.7,A
prd_00130,40609.89,26760865.46,69.81,A
prd_00088,40486.49,26801351.95,69.91,A
prd_00032,40146.73,26841498.68,70.02,B
prd_00282,40043.64,26881542.32,70.12,B
prd_00023,39937.05,26921479.37,70.23,B
prd_00195,39122.3,26960601.67,70.33,B
prd_00257,38869.82,26999471.49,70.43,B
prd_00230,38585.18,27038056.67,70.53,B
prd_00098,38213.63,27076270.3,70.63,B
prd_00299,37959.69,27114229.99,70.73,B
prd_00243,37349.96,27151579.95,70.83,B
prd_00560,36886.2,27188466.15,70.92,B
prd_01048,36280.67,27224746.82,71.02,B
prd_00132,35750.06,27260496.88,71.11,B
prd_00512,35140.1,27295636.98,71.2,B
prd_00311,34755.86,27330392.84,71.29,B
prd_00741,34315.81,27364708.65,71.38,B
prd_00133,34261.77,27398970.42,71.47,B
prd_00267,34184.16,27433154.58,71.56,B
prd_00353,34180.66,27467335.24,71.65,B
prd_00048,33841.91,27501177.15,71.74,B
prd_00718,33365.71,27534542.86,71.83,B
prd_00522,33328.67,27567871.53,71.91,B
prd_00103,33278.67,27601150.2,72.0,B
prd_00026,33253.65,27634403.85,72.09,B
prd_00238,33138.39,27667542.24,72.17,B
prd_00640,32958.18,27700500.42,72.26,B
prd_00327,32769.64,27733270.06,72.35,B
prd_00071,32612.08,27765882.14,72.43,B
prd_00647,32533.59,27798415.73,72.52,B
prd_00063,32076.49,27830492.22,72.6,B
prd_00798,31709.29,27862201.51,72.68,B
prd_00114,31598.36,27893799.87,72.76,B
prd_00150,31586.91,27925386.78,72.85,B
prd_00146,31290.66,27956677.44,72.93,B
prd_00636,30916.72,27987594.16,73.01,B
prd_00408,30902.38,28018496.54,73.09,B
prd_00355,30767.41,28049263.95,73.17,B
prd_00058,30736.89,28080000.84,73.25,B
prd_00381,30652.61,28110653.45,73.33,B
prd_00342,30549.51,28141202.96,73.41,B
prd_00486,30464.68,28171667.64,73.49,B
prd_00227,30108.39,28201776.03,73.57,B
prd_00374,30039.93,28231815.96,73.65,B
prd_00065,30021.45,28261837.41,73.72,B
prd_00244,29864.18,28291701.59,73.8,B
prd_00453,29590.09,28321291.68,73.88,B
prd_00430,29583.39,28350875.07,73.96,B
prd_00104,29326.19,28380201.26,74.03,B
prd_00412,29121.77,28409323.03,74.11,B
prd_00523,28947.2,28438270.23,74.18,B
prd_00672,28893.52,28467163.75,74.26,B
prd_00551,28762.41,28495926.16,74.33,B
prd_00017,28652.74,28524578.9,74.41,B
prd_00273,28419.64,28552998.54,74.48,B
prd_00428,27831.03,28580829.57,74.56,B
prd_00883,27539.0,28608368.57,74.63,B
prd_00256,27483.7,28635852.27,74.7,B
prd_00465,27469.03,28663321.3,74.77,B
prd_00870,27305.77,28690627.07,74.84,B
prd_00615,27264.92,28717891.99,74.91,B
prd_00321,27245.79,28745137.78,74.98,B
prd_00235,27183.13,28772320.91,75.06,B
prd_00173,26929.69,28799250.6,75.13,B
prd_00369,26920.6,28826171.2,75.2,B
prd_00177,26814.78,28852985.98,75.27,B
prd_00375,26747.72,28879733.7,75.34,B
prd_00464,26674.62,28906408.32,75.41,B
prd_00338,26594.29,28933002.61,75.47,B
prd_00194,26534.79,28959537.4,75.54,B
prd_00097,26491.12,28986028.52,75.61,B
prd_00378,26123.27,29012151.79,75.68,B
prd_00072,25991.68,29038143.47,75.75,B
prd_00611,25306.85,29063450.32,75.82,B
prd_00297,25235.79,29088686.11,75.88,B
prd_00095,25150.48,29113836.59,75.95,B
prd_00073,24920.73,29138757.32,76.01,B
prd_00893,24857.92,29163615.24,76.08,B
prd_00046,24674.41,29188289.65,76.14,B
prd_01076,24594.18,29212883.83,76.2,B
prd_00294,24362.93,29237246.76,76.27,B
prd_00140,24260.44,29261507.2,76.33,B
prd_00125,24077.42,29285584.62,76.39,B
prd_00493,23996.15,29309580.77,76.46,B
prd_01187,23908.61,29333489.38,76.52,B
prd_00905,23891.2,29357380.58,76.58,B
prd_00131,23244.4,29380624.98,76.64,B
prd_00597,23233.7,29403858.68,76.7,B
prd_00170,22871.09,29426729.77,76.76,B
prd_00301,22477.71,29449207.48,76.82,B
prd_00082,22444.39,29471651.87,76.88,B
prd_00699,22335.57,29493987.44,76.94,B
prd_00814,22108.01,29516095.45,77.0,B
prd_00820,22096.5,29538191.95,77.05,B
prd_00688,22058.5,29560250.45,77.11,B
prd_00644,21965.63,29582216.08,77.17,B
prd_00581,21732.44,29603948.52,77.23,B
prd_00041,21704.26,29625652.78,77.28,B
prd_00478,21669.39,29647322.17,77.34,B
prd_00051,21640.36,29668962.53,77.39,B
prd_00854,21581.07,29690543.6,77.45,B
prd_00670,21494.5,29712038.1,77.51,B
prd_00511,21469.84,29733507.94,77.56,B
prd_00734,21321.8,29754829.74,77.62,B
prd_00514,21181.86,29776011.6,77.67,B
prd_00677,21028.15,29797039.75,77.73,B
prd_00884,20984.94,29818024.69,77.78,B
prd_00623,20908.77,29838933.46,77.84,B
prd_00141,20896.06,29859829.52,77.89,B
prd_00354,20722.16,29880551.68,77.95,B
prd_01101,20708.16,29901259.84,78.0,B
prd_00773,20690.67,29921950.51,78.05,B
prd_00105,20686.37,29942636.88,78.11,B
prd_01896,20675.33,29963312.21,78.16,B
prd_00429,20604.34,29983916.55,78.22,B
prd_00304,20591.43,30004507.98,78.27,B
prd_00193,20578.63,30025086.61,78.32,B
prd_00658,20515.54,30045602.15,78.38,B
prd_00057,20479.3,30066081.45,78.43,B
prd_00896,20443.16,30086524.61,78.48,B
prd_01254,20443.15,30106967.76,78.54,B
prd_00123,20433.52,30127401.28,78.59,B
prd_00694,20252.97,30147654.25,78.64,B
prd_00075,20239.32,30167893.57,78.7,B
prd_01084,20189.63,30188083.2,78.75,B
prd_00296,20119.85,30208203.05,78.8,B
prd_00234,20090.94,30228293.99,78.85,B
prd_00782,20055.68,30248349.67,78.91,B
prd_00184,19998.24,30268347.91,78.96,B
prd_00508,19957.58,30288305.49,79.01,B
prd_00225,19823.41,30308128.9,79.06,B
prd_01336,19747.53,30327876.43,79.11,B
prd_00122,19667.48,30347543.91,79.16,B
prd_00556,19588.39,30367132.3,79.22,B
prd_00691,19522.93,30386655.23,79.27,B
prd_01354,19483.53,30406138.76,79.32,B
prd_00415,19445.92,30425584.68,79.37,B
prd_01339,19371.08,30444955.76,79.42,B
prd_00641,19269.6,30464225.36,79.47,B
prd_00655,19168.91,30483394.27,79.52,B
prd_00754,18959.65,30502353.92,79.57,B
prd_00067,18923.45,30521277.37,79.62,B
prd_01172,18904.92,30540182.29,79.67,B
prd_00054,18802.59,30558984.88,79.72,B
prd_00215,18676.89,30577661.77,79.77,B
prd_00413,18671.89,30596333.66,79.81,B
prd_00602,18660.33,30614993.99,79.86,B
prd_00563,18592.36,30633586.35,79.91,B
prd_00260,18504.05,30652090.4,79.96,B
prd_01165,18401.73,30670492.13,80.01,B
prd_00112,18220.6,30688712.73,80.05,B
prd_00648,18048.32,30706761.05,80.1,B
prd_00649,18026.73,30724787.78,80.15,B
prd_00757,17887.33,30742675.11,80.2,B
prd_00604,17707.37,30760382.48,80.24,B
prd_00036,17663.31,30778045.79,80.29,B
prd_00781,17209.4,30795255.19,80.33,B
prd_00657,17164.08,30812419.27,80.38,B
prd_00735,17130.39,30829549.66,80.42,B
prd_00637,17091.64,30846641.3,80.47,B
prd_00153,17077.27,30863718.57,80.51,B
prd_00433,17015.21,30880733.78,80.56,B
prd_01583,17000.9,30897734.68,80.6,B
prd_00151,16923.39,30914658.07,80.64,B
prd_01107,16900.26,30931558.33,80.69,B
prd_00716,16819.01,30948377.34,80.73,B
prd_01014,16651.72,30965029.06,80.78,B
prd_00081,16576.71,30981605.77,80.82,B
prd_01240,16474.59,30998080.36,80.86,B
prd_00696,16360.27,31014440.63,80.9,B
prd_01044,16340.73,31030781.36,80.95,B
prd_00292,16158.32,31046939.68,80.99,B
prd_00223,16104.29,31063043.97,81.03,B
prd_00414,16102.2,31079146.17,81.07,B
prd_02108,16054.74,31095200.91,81.12,B
prd_01419,15958.0,31111158.91,81.16,B
prd_00844,15941.95,31127100.86,81.2,B
prd_01059,15916.85,31143017.71,81.24,B
prd_00912,15886.98,31158904.69,81.28,B
prd_00684,15686.51,31174591.2,81.32,B
prd_01189,15645.12,31190236.32,81.36,B
prd_00843,15620.22,31205856.54,81.4,B
prd_00212,15608.51,31221465.05,81.44,B
prd_01066,15573.21,31237038.26,81.49,B
prd_00839,15571.67,31252609.93,81.53,B
prd_00567,15529.03,31268138.96,81.57,B
prd_01499,15436.34,31283575.3,81.61,B
prd_00949,15413.22,31298988.52,81.65,B
prd_00497,15395.97,31314384.49,81.69,B
prd_00152,15356.71,31329741.2,81.73,B
prd_00143,15265.97,31345007.17,81.77,B
prd_00111,15183.47,31360190.64,81.81,B
prd_01719,15183.36,31375374.0,81.85,B
prd_00618,15171.31,31390545.31,81.89,B
prd_01236,15118.82,31405664.13,81.93,B
prd_00978,15118.24,31420782.37,81.96,B
prd_00993,15082.88,31435865.25,82.0,B
prd_00447,15030.99,31450896.24,82.04,B
prd_00473,15010.8,31465907.04,82.08,B
prd_00432,14982.68,31480889.72,82.12,B
prd_02049,14933.41,31495823.13,82.16,B
prd_00656,14879.44,31510702.57,82.2,B
prd_01660,14875.12,31525577.69,82.24,B
prd_00584,14825.52,31540403.21,82.28,B
prd_00662,14795.38,31555198.59,82.32,B
prd_02097,14776.32,31569974.91,82.35,B
prd_00766,14714.74,31584689.65,82.39,B
prd_00200,14640.66,31599330.31,82.43,B
prd_00504,14545.24,31613875.55,82.47,B
prd_00907,14462.25,31628337.8,82.51,B
prd_02003,14454.17,31642791.97,82.54,B
prd_00925,14445.6,31657237.57,82.58,B
prd_00621,14225.86,31671463.43,82.62,B
prd_01065,14193.6,31685657.03,82.66,B
prd_01193,14183.96,31699840.99,82.69,B
prd_01139,14165.61,31714006.6,82.73,B
prd_01513,14054.79,31728061.39,82.77,B
prd_00592,13941.53,31742002.92,82.8,B
prd_00079,13939.9,31755942.82,82.84,B
prd_00455,13915.98,31769858.8,82.88,B
prd_00543,13845.06,31783703.86,82.91,B
prd_01126,13781.76,31797485.62,82.95,B
prd_02359,13773.28,31811258.9,82.98,B
prd_00118,13738.66,31824997.56,83.02,B
prd_00024,13732.02,31838729.58,83.05,B
prd_01027,13699.77,31852429.35,83.09,B
prd_00205,13684.22,31866113.57,83.13,B
prd_00935,13683.59,31879797.16,83.16,B
prd_00970,13679.62,31893476.78,83.2,B
prd_01122,13664.9,31907141.68,83.23,B
prd_01717,13633.6,31920775.28,83.27,B
prd_01328,13630.71,31934405.99,83.3,B
prd_00743,13625.64,31948031.63,83.34,B
prd_01840,13607.46,31961639.09,83.38,B
prd_00250,13606.41,31975245.5,83.41,B
prd_00975,13586.05,31988831.55,83.45,B
prd_00586,13508.09,32002339.64,83.48,B
prd_00084,13367.24,32015706.88,83.52,B
prd_01127,13194.96,32028901.84,83.55,B
prd_01783,13191.81,32042093.65,83.59,B
prd_00303,13179.22,32055272.87,83.62,B
prd_01657,13150.99,32068423.86,83.65,B
prd_01081,13132.86,32081556.72,83.69,B
prd_00204,13128.52,32094685.24,83.72,B
prd_01557,13099.56,32107784.8,83.76,B
prd_00914,13081.87,32120866.67,83.79,B
prd_00352,13059.4,32133926.07,83.82,B
prd_00794,13053.91,32146979.98,83.86,B
prd_01449,12998.48,32159978.46,83.89,B
prd_00807,12866.51,32172844.97,83.93,B
prd_02361,12819.48,32185664.45,83.96,B
prd_00963,12780.37,32198444.82,83.99,B
prd_00329,12767.16,32211211.98,84.03,B
prd_00664,12730.54,32223942.52,84.06,B
prd_02142,12693.37,32236635.89,84.09,B
prd_00989,12652.19,32249288.08,84.13,B
prd_00981,12621.17,32261909.25,84.16,B
prd_01807,12587.62,32274496.87,84.19,B
prd_00628,12551.32,32287048.19,84.22,B
prd_01309,12525.8,32299573.99,84.26,B
prd_00216,12475.26,32312049.25,84.29,B
prd_00087,12440.93,32324490.18,84.32,B
prd_00220,12399.53,32336889.71,84.35,B
prd_00389,12392.72,32349282.43,84.39,B
prd_00576,12374.79,32361657.22,84.42,B
prd_01515,12366.09,32374023.31,84.45,B
prd_01135,12346.8,32386370.11,84.48,B
prd_00787,12335.86,32398705.97,84.52,B
prd_00643,12328.36,32411034.33,84.55,B
prd_01484,12315.62,32423349.95,84.58,B
prd_00897,12251.51,32435601.46,84.61,B
prd_00156,12209.86,32447811.32,84.64,B
prd_00686,12204.01,32460015.33,84.68,B
prd_00037,12161.08,32472176.41,84.71,B
prd_01663,12152.33,32484328.74,84.74,B
prd_01047,12102.86,32496431.6,84.77,B
prd_01379,12037.9,32508469.5,84.8,B
prd_01382,12014.34,32520483.84,84.83,B
prd_00547,12010.89,32532494.73,84.86,B
prd_00659,11956.74,32544451.47,84.9,B
prd_00232,11951.11,32556402.58,84.93,B
prd_01423,11910.48,32568313.06,84.96,B
prd_00612,11904.43,32580217.49,84.99,B
prd_00347,11889.17,32592106.66,85.02,B
prd_00197,11771.05,32603877.71,85.05,B
prd_01869,11712.34,32615590.05,85.08,B
prd_00091,11704.38,32627294.43,85.11,B
prd_00899,11655.88,32638950.31,85.14,B
prd_00548,11573.57,32650523.88,85.17,B
prd_00985,11565.11,32662088.99,85.2,B
prd_00799,11482.93,32673571.92,85.23,B
prd_00120,11456.32,32685028.24,85.26,B
prd_01375,11418.69,32696446.93,85.29,B
prd_01398,11418.65,32707865.58,85.32,B
prd_01149,11412.76,32719278.34,85.35,B
prd_00950,11408.56,32730686.9,85.38,B
prd_00400,11360.12,32742047.02,85.41,B
prd_01464,11340.91,32753387.93,85.44,B
prd_00253,11235.29,32764623.22,85.47,B
prd_00940,11145.33,32775768.55,85.5,B
prd_01333,11138.91,32786907.46,85.53,B
prd_01563,11123.6,32798031.06,85.56,B
prd_01830,11109.12,32809140.18,85.59,B
prd_00816,11076.36,32820216.54,85.62,B
prd_01882,11039.49,32831256.03,85.64,B
prd_00175,10964.01,32842220.04,85.67,B
prd_00956,10956.21,32853176.25,85.7,B
prd_00092,10954.22,32864130.47,85.73,B
prd_00357,10922.93,32875053.4,85.76,B
prd_00728,10922.22,32885975.62,85.79,B
prd_01458,10843.17,32896818.79,85.81,B
prd_01429,10773.68,32907592.47,85.84,B
prd_01174,10757.73,32918350.2,85.87,B
prd_00771,10721.48,32929071.68,85.9,B
prd_00309,10706.71,32939778.39,85.93,B
prd_00713,10681.8,32950460.19,85.95,B
prd_00305,10633.86,32961094.05,85.98,B
prd_00645,10617.48,32971711.53,86.01,B
prd_01633,10608.95,32982320.48,86.04,B
prd_00906,10589.46,32992909.94,86.07,B
prd_01582,10582.95,33003492.89,86.09,B
prd_01340,10547.57,33014040.46,86.12,B
prd_01406,10544.53,33024584.99,86.15,B
prd_01079,10408.49,33034993.48,86.18,B
prd_00751,10391.2,33045384.68,86.2,B
prd_01054,10385.2,33055769.88,86.23,B
prd_01214,10346.8,33066116.68,86.26,B
prd_01904,10308.24,33076424.92,86.28,B
prd_00176,10268.02,33086692.94,86.31,B
prd_00269,10256.72,33096949.66,86.34,B
prd_00457,10255.21,33107204.87,86.36,B
prd_01249,10249.62,33117454.49,86.39,B
prd_01359,10104.64,33127559.13,86.42,B
prd_02179,10091.12,33137650.25,86.44,B
prd_01727,10085.0,33147735.25,86.47,B
prd_01281,10065.72,33157800.97,86.5,B
prd_00458,10023.36,33167824.33,86.52,B
prd_02355,9997.57,33177821.9,86.55,B
prd_00417,9966.92,33187788.82,86.57,B
prd_01873,9966.02,33197754.84,86.6,B
prd_00109,9965.83,33207720.67,86.63,B
prd_00539,9911.19,33217631.86,86.65,B
prd_02285,9883.12,33227514.98,86.68,B
prd_00062,9857.01,33237371.99,86.7,B
prd_01036,9820.95,33247192.94,86.73,B
prd_00226,9804.37,33256997.31,86.75,B
prd_01645,9702.36,33266699.67,86.78,B
prd_00614,9694.24,33276393.91,86.81,B
prd_02094,9690.23,33286084.14,86.83,B
prd_00768,9646.57,33295730.71,86.86,B
prd_01232,9633.6,33305364.31,86.88,B
prd_00525,9616.9,33314981.21,86.91,B
prd_00587,9616.57,33324597.78,86.93,B
prd_01203,9610.92,33334208.7,86.96,B
prd_00074,9604.25,33343812.95,86.98,B
prd_01220,9570.22,33353383.17,87.01,B
prd_01007,9531.49,33362914.66,87.03,B
prd_01489,9492.27,33372406.93,87.06,B
prd_01847,9466.73,33381873.66,87.08,B
prd_00878,9466.54,33391340.2,87.1,B
prd_01514,9377.57,33400717.77,87.13,B
prd_01097,9374.83,33410092.6,87.15,B
prd_00714,9367.62,33419460.22,87.18,B
prd_00443,9366.08,33428826.3,87.2,B
prd_00263,9363.34,33438189.64,87.23,B
prd_00617,9358.8,33447548.44,87.25,B
prd_00064,9350.51,33456898.95,87.28,B
prd_02397,9350.28,33466249.23,87.3,B
prd_01082,9337.31,33475586.54,87.32,B
prd_02071,9307.88,33484894.42,87.35,B
prd_01539,9269.05,33494163.47,87.37,B
prd_00116,9264.02,33503427.49,87.4,B
prd_01987,9255.48,33512682.97,87.42,B
prd_01100,9219.35,33521902.32,87.45,B
prd_00179,9209.12,33531111.44,87.47,B
prd_01894,9186.54,33540297.98,87.49,B
prd_00410,9179.52,33549477.5,87.52,B
prd_00549,9174.0,33558651.5,87.54,B
prd_01860,9166.34,33567817.84,87.57,B
prd_01260,9122.02,33576939.86,87.59,B
prd_02204,9100.84,33586040.7,87.61,B
prd_01077,9100.32,33595141.02,87.64,B
prd_01346,9068.98,33604210.0,87.66,B
prd_00913,9054.68,33613264.68,87.68,B
prd_01805,9018.59,33622283.27,87.71,B
prd_01268,8987.54,33631270.81,87.73,B
prd_02364,8963.06,33640233.87,87.75,B
prd_01949,8945.06,33649178.93,87.78,B
prd_00166,8934.16,33658113.09,87.8,B
prd_00348,8913.96,33667027.05,87.82,B
prd_00237,8912.52,33675939.57,87.85,B
prd_01087,8832.64,33684772.21,87.87,B
prd_00164,8829.31,33693601.52,87.89,B
prd_00988,8726.24,33702327.76,87.92,B
prd_00180,8718.11,33711045.87,87.94,B
prd_00860,8704.34,33719750.21,87.96,B
prd_01072,8700.8,33728451.01,87.98,B
prd_00633,8692.4,33737143.41,88.01,B
prd_02042,8658.02,33745801.43,88.03,B
prd_00984,8635.23,33754436.66,88.05,B
prd_01142,8633.44,33763070.1,88.07,B
prd_00247,8625.05,33771695.15,88.1,B
prd_02022,8608.44,33780303.59,88.12,B
prd_02024,8586.58,33788890.17,88.14,B
prd_02370,8546.4,33797436.57,88.16,B
prd_01451,8542.22,33805978.79,88.19,B
prd_01602,8522.32,33814501.11,88.21,B
prd_01311,8483.08,33822984.19,88.23,B
prd_00712,8481.99,33831466.18,88.25,B
prd_00157,8474.44,33839940.62,88.28,B
prd_00496,8469.63,33848410.25,88.3,B
prd_00474,8421.24,33856831.49,88.32,B
prd_00533,8393.01,33865224.5,88.34,B
prd_00803,8392.64,33873617.14,88.36,B
prd_00190,8390.0,33882007.14,88.38,B
prd_00286,8382.38,33890389.52,88.41,B
prd_00163,8377.34,33898766.86,88.43,B
prd_00089,8375.37,33907142.23,88.45,B
prd_01388,8353.78,33915496.01,88.47,B
prd_00813,8340.29,33923836.3,88.49,B
prd_01662,8322.86,33932159.16,88.52,B
prd_02271,8301.06,33940460.22,88.54,B
prd_00480,8263.06,33948723.28,88.56,B
prd_00933,8225.57,33956948.85,88.58,B
prd_00270,8194.47,33965143.32,88.6,B
prd_00509,8188.11,33973331.43,88.62,B
prd_00108,8184.15,33981515.58,88.64,B
prd_01296,8177.36,33989692.94,88.67,B
prd_00622,8155.83,33997848.77,88.69,B
prd_00276,8149.75,34005998.52,88.71,B
prd_01866,8102.03,34014100.55,88.73,B
prd_01919,8098.02,34022198.57,88.75,B
prd_01763,8094.38,34030292.95,88.77,B
prd_01162,8089.26,34038382.21,88.79,B
prd_01864,8077.99,34046460.2,88.81,B
prd_01310,8068.14,34054528.34,88.83,B
prd_00446,8054.47,34062582.81,88.86,B
prd_02012,8052.48,34070635.29,88.88,B
prd_00847,8002.08,34078637.37,88.9,B
prd_02411,7999.05,34086636.42,88.92,B
prd_00393,7939.4,34094575.82,88.94,B
prd_01021,7938.16,34102513.98,88.96,B
prd_01507,7919.16,34110433.14,88.98,B
prd_00085,7896.01,34118329.15,89.0,B
prd_01953,7861.02,34126190.17,89.02,B
prd_01089,7843.25,34134033.42,89.04,B
prd_00096,7839.24,34141872.66,89.06,B
prd_00208,7819.85,34149692.51,89.08,B
prd_00252,7817.62,34157510.13,89.1,B
prd_00078,7813.18,34165323.31,89.12,B
prd_00277,7793.51,34173116.82,89.14,B
prd_01224,7768.99,34180885.81,89.16,B
prd_01265,7732.93,34188618.74,89.18,B
prd_01970,7729.53,34196348.27,89.2,B
prd_01209,7716.19,34204064.46,89.22,B
prd_01184,7696.88,34211761.34,89.25,B
prd_00161,7687.97,34219449.31,89.27,B
prd_01432,7651.22,34227100.53,89.29,B
prd_00968,7633.56,34234734.09,89.3,B
prd_01085,7599.35,34242333.44,89.32,B
prd_00755,7589.37,34249922.81,89.34,B
prd_00668,7555.39,34257478.2,89.36,B
prd_01673,7552.81,34265031.01,89.38,B
prd_00165,7544.5,34272575.51,89.4,B
prd_01160,7541.75,34280117.26,89.42,B
prd_01317,7530.81,34287648.07,89.44,B
prd_00040,7522.35,34295170.42,89.46,B
prd_02137,7520.76,34302691.18,89.48,B
prd_00100,7517.75,34310208.93,89.5,B
prd_02232,7517.4,34317726.33,89.52,B
prd_02104,7483.86,34325210.19,89.54,B
prd_00849,7474.18,34332684.37,89.56,B
prd_02413,7473.04,34340157.41,89.58,B
prd_01915,7459.34,34347616.75,89.6,B
prd_00939,7450.29,34355067.04,89.62,B
prd_00310,7446.55,34362513.59,89.64,B
prd_01554,7437.8,34369951.39,89.66,B
prd_01257,7433.0,34377384.39,89.68,B
prd_02250,7431.36,34384815.75,89.7,B
prd_00203,7418.63,34392234.38,89.72,B
prd_02194,7412.88,34399647.26,89.74,B
prd_00421,7361.79,34407009.05,89.75,B
prd_01040,7346.78,34414355.83,89.77,B
prd_01925,7317.34,34421673.17,89.79,B
prd_01769,7313.15,34428986.32,89.81,B
prd_01414,7298.03,34436284.35,89.83,B
prd_02043,7294.55,34443578.9,89.85,B
prd_00045,7291.06,34450869.96,89.87,B
prd_00188,7289.54,34458159.5,89.89,B
prd_00213,7276.37,34465435.87,89.91,B
prd_02004,7261.06,34472696.93,89.93,B
prd_01396,7249.12,34479946.05,89.94,B
prd_01492,7236.15,34487182.2,89.96,B
prd_00167,7233.74,34494415.94,89.98,B
prd_00705,7224.05,34501639.99,90.0,C
prd_01849,7177.67,34508817.66,90.02,C
prd_00059,7164.8,34515982.46,90.04,C
prd_01626,7163.2,34523145.66,90.06,C
prd_01475,7153.2,34530298.86,90.08,C
prd_00769,7115.3,34537414.16,90.09,C
prd_01051,7114.8,34544528.96,90.11,C
prd_02246,7082.89,34551611.85,90.13,C
prd_02373,7080.71,34558692.56,90.15,C
prd_01555,7079.82,34565772.38,90.17,C
prd_00110,7054.98,34572827.36,90.19,C
prd_00222,7036.9,34579864.26,90.21,C
prd_01701,7029.77,34586894.03,90.22,C
prd_01905,7012.81,34593906.84,90.24,C
prd_00853,6964.24,34600871.08,90.26,C
prd_00926,6910.78,34607781.86,90.28,C
prd_01506,6902.82,34614684.68,90.3,C
prd_00050,6893.44,34621578.12,90.31,C
prd_00345,6851.34,34628429.46,90.33,C
prd_01708,6848.37,34635277.83,90.35,C
prd_02183,6839.36,34642117.19,90.37,C
prd_01509,6832.72,34648949.91,90.39,C
