customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,segment
usr_001895,46,10,2535.77,4,5,5,Champions
usr_038815,434,2,681.8,1,3,3,At Risk
usr_003863,11,3,562.31,5,4,3,Loyal Customers
usr_002920,117,6,1846.41,3,5,5,Loyal Customers
usr_000643,45,11,4409.06,4,5,5,Champions
usr_006162,709,1,474.98,1,1,3,Hibernating
usr_015279,579,2,114.57,1,3,1,At Risk
usr_031495,359,2,90.47,2,3,1,At Risk
usr_007526,240,3,979.16,2,4,4,At Risk
usr_004328,87,4,2491.5,4,5,5,Champions
usr_000648,35,15,6827.73,4,5,5,Champions
usr_000018,1,133,57613.31,5,5,5,Champions
usr_000011,0,204,76054.42,5,5,5,Champions
usr_035058,70,2,244.55,4,3,2,Promising/Active
usr_007367,10,4,758.85,5,5,3,Loyal Customers
usr_001851,100,6,2314.32,3,5,5,Loyal Customers
usr_017796,18,2,162.72,5,3,2,Promising/Active
usr_025295,709,1,668.37,1,1,3,Hibernating
usr_012380,269,4,986.26,2,5,4,At Risk
usr_000054,7,65,23106.29,5,5,5,Champions
usr_014510,185,3,537.13,3,4,3,Loyal Customers
usr_025430,189,3,2350.65,3,4,5,Loyal Customers
usr_000058,4,68,25385.2,5,5,5,Champions
usr_006352,70,2,397.96,4,3,3,Loyal Customers
usr_007536,177,4,770.2,3,5,3,Loyal Customers
usr_001047,15,9,4336.52,5,5,5,Champions
usr_008884,709,1,422.26,1,1,3,Hibernating
usr_009420,24,4,2606.67,5,5,5,Champions
usr_001378,59,9,4189.63,4,5,5,Champions
usr_000425,1,22,14032.65,5,5,5,Champions
usr_026407,238,3,567.75,2,4,3,At Risk
usr_037174,709,1,1008.91,1,1,4,Hibernating
usr_011571,151,2,1302.25,3,3,4,Loyal Customers
usr_004811,383,2,1880.63,2,3,5,At Risk
usr_024206,104,4,1858.39,3,5,5,Loyal Customers
usr_001909,24,7,2296.16,5,5,5,Champions
usr_010702,444,2,276.51,1,3,2,At Risk
usr_015858,709,1,114.95,1,1,1,Hibernating
usr_000050,4,61,24622.61,5,5,5,Champions
usr_008548,81,3,1562.73,4,4,5,Champions
usr_008030,275,3,1147.76,2,4,4,At Risk
usr_020868,709,1,98.5,1,1,1,Hibernating
usr_002664,253,2,326.71,2,3,2,At Risk
usr_000716,18,10,1618.14,5,5,5,Champions
usr_032654,709,1,882.54,1,1,4,Hibernating
usr_007212,1,2,247.59,5,3,2,Promising/Active
usr_000025,0,127,48323.93,5,5,5,Champions
usr_002108,141,6,2230.32,3,5,5,Loyal Customers
usr_034765,24,2,2481.77,5,3,5,Loyal Customers
usr_019825,345,4,1413.6,2,5,4,At Risk
usr_025442,239,3,742.32,2,4,3,At Risk
usr_002696,64,8,3983.91,4,5,5,Champions
usr_000080,9,53,18875.05,5,5,5,Champions
usr_002816,28,4,2084.31,5,5,5,Champions
usr_012707,107,3,1523.86,3,4,5,Loyal Customers
usr_018273,708,1,473.62,1,1,3,Hibernating
usr_003023,9,6,1291.4,5,5,4,Champions
usr_019996,70,3,267.92,4,4,2,Promising/Active
usr_018898,708,1,379.53,1,1,3,Hibernating
usr_001308,36,11,4524.97,4,5,5,Champions
usr_000908,17,8,1933.6,5,5,5,Champions
usr_026146,363,2,1293.01,2,3,4,At Risk
usr_011393,88,4,2442.29,4,5,5,Champions
usr_019413,353,2,452.66,2,3,3,At Risk
usr_029262,708,1,68.22,1,1,1,Hibernating
usr_011817,354,2,442.93,2,3,3,At Risk
usr_017793,386,3,729.14,2,4,3,At Risk
usr_000172,4,27,10520.79,5,5,5,Champions
usr_031271,409,2,225.02,1,3,2,At Risk
usr_000049,4,83,28547.96,5,5,5,Champions
usr_008305,362,4,1069.65,2,5,4,At Risk
usr_000440,10,16,6384.11,5,5,5,Champions
usr_000330,4,30,8599.25,5,5,5,Champions
usr_005315,205,3,924.24,3,4,4,Loyal Customers
usr_012993,77,2,727.66,4,3,3,Loyal Customers
usr_004278,254,5,1238.34,2,5,4,At Risk
usr_008218,42,2,148.86,4,3,2,Promising/Active
usr_000925,25,9,3801.42,5,5,5,Champions
usr_007271,24,5,587.29,5,5,3,Loyal Customers
usr_000042,1,80,34748.57,5,5,5,Champions
usr_000641,32,16,4752.11,4,5,5,Champions
usr_001477,4,11,4745.65,5,5,5,Champions
usr_000007,3,272,103217.58,5,5,5,Champions
usr_000118,3,51,19557.34,5,5,5,Champions
usr_000030,6,106,43647.66,5,5,5,Champions
usr_007081,708,1,617.88,1,1,3,Hibernating
usr_004953,26,4,502.58,5,5,3,Loyal Customers
usr_000331,7,26,10676.56,5,5,5,Champions
usr_000033,3,121,44856.46,5,5,5,Champions
usr_002406,27,6,1029.14,5,5,4,Champions
usr_000267,1,22,8637.24,5,5,5,Champions
usr_027072,32,2,1388.04,4,3,4,Loyal Customers
usr_011547,708,1,58.69,1,1,1,Hibernating
usr_006410,265,3,2726.14,2,4,5,At Risk
usr_000276,4,20,4488.93,5,5,5,Champions
usr_014131,13,2,208.58,5,3,2,Promising/Active
usr_037367,708,1,1091.08,1,1,4,Hibernating
usr_000327,10,14,4829.76,5,5,5,Champions
usr_018632,537,2,385.36,1,3,3,At Risk
usr_002287,24,6,2581.1,5,5,5,Champions
usr_000013,0,180,62717.08,5,5,5,Champions
usr_014590,53,2,887.2,4,3,4,Loyal Customers
usr_034264,708,1,39.7,1,1,1,Hibernating
usr_002744,18,5,2733.59,5,5,5,Champions
usr_019180,30,5,1364.73,4,5,4,Champions
usr_014399,708,1,120.26,1,1,1,Hibernating
usr_004823,34,4,4732.37,4,5,5,Champions
usr_011254,381,3,1203.66,2,4,4,At Risk
usr_011604,428,3,1227.3,1,4,4,At Risk
usr_017004,708,1,154.67,1,1,2,Hibernating
usr_010737,544,2,1007.6,1,3,4,At Risk
usr_001085,34,12,3627.3,4,5,5,Champions
usr_020727,423,3,1604.29,1,4,5,At Risk
usr_011766,111,4,1459.84,3,5,5,Loyal Customers
usr_001970,143,9,3825.87,3,5,5,Loyal Customers
usr_004463,143,4,929.07,3,5,4,Loyal Customers
usr_020570,401,2,92.72,1,3,1,At Risk
usr_002958,29,6,1319.5,4,5,4,Champions
usr_029611,707,1,64.86,1,1,1,Hibernating
usr_026555,604,2,1573.08,1,3,5,At Risk
usr_018344,707,1,64.86,1,1,1,Hibernating
usr_014973,406,2,2367.76,1,3,5,At Risk
usr_001363,9,6,1755.37,5,5,5,Champions
usr_000370,12,13,7356.65,5,5,5,Champions
usr_016914,19,4,1467.13,5,5,5,Champions
usr_000443,18,19,8403.85,5,5,5,Champions
usr_001042,19,11,4332.05,5,5,5,Champions
usr_003156,8,10,2938.19,5,5,5,Champions
usr_001720,22,4,1863.92,5,5,5,Champions
usr_029606,241,2,1139.57,2,3,4,At Risk
usr_024551,707,1,267.94,1,1,2,Hibernating
usr_010814,0,3,394.18,5,4,3,Loyal Customers
usr_006279,373,3,2257.12,2,4,5,At Risk
usr_017073,707,1,405.28,1,1,3,Hibernating
usr_009860,73,3,2557.42,4,4,5,Champions
usr_015078,133,5,1979.05,3,5,5,Loyal Customers
usr_002447,2,4,772.29,5,5,3,Loyal Customers
usr_015698,37,2,1889.89,4,3,5,Loyal Customers
usr_000024,2,141,324595.77,5,5,5,Champions
usr_004094,81,2,261.08,4,3,2,Promising/Active
usr_001673,219,8,2564.68,3,5,5,Loyal Customers
usr_026604,611,2,2181.66,1,3,5,At Risk
usr_000020,4,135,49819.5,5,5,5,Champions
usr_019071,132,2,1040.99,3,3,4,Loyal Customers
usr_018071,707,1,82.14,1,1,1,Hibernating
usr_013240,116,2,569.41,3,3,3,Loyal Customers
usr_010150,20,4,2887.09,5,5,5,Champions
usr_004164,387,3,210.54,1,4,2,At Risk
usr_001648,25,7,2146.42,5,5,5,Champions
usr_004172,165,6,1603.6,3,5,5,Loyal Customers
usr_032521,208,2,796.96,3,3,3,Loyal Customers
usr_035700,23,2,499.84,5,3,3,Loyal Customers
usr_001201,38,7,1371.27,4,5,4,Champions
usr_009796,317,3,729.94,2,4,3,At Risk
usr_033626,706,1,56.03,1,1,1,Hibernating
usr_000164,5,28,8114.34,5,5,5,Champions
usr_000237,4,27,108489.86,5,5,5,Champions
usr_012145,706,1,23.75,1,1,1,Hibernating
usr_001431,400,3,1703.3,1,4,5,At Risk
usr_005978,355,3,451.32,2,4,3,At Risk
usr_001284,21,5,2692.23,5,5,5,Champions
usr_000296,1,24,11036.87,5,5,5,Champions
usr_000041,0,87,28440.14,5,5,5,Champions
usr_000317,16,15,6500.66,5,5,5,Champions
usr_000171,1,37,13134.67,5,5,5,Champions
usr_003869,151,2,73.62,3,3,1,Promising/Active
usr_004575,706,1,1036.53,1,1,4,Hibernating
usr_011570,706,1,886.76,1,1,4,Hibernating
usr_004685,83,4,716.03,4,5,3,Loyal Customers
usr_005301,119,3,234.25,3,4,2,Promising/Active
usr_027474,706,1,66.1,1,1,1,Hibernating
usr_014608,706,1,18.52,1,1,1,Hibernating
usr_000997,5,10,2324.4,5,5,5,Champions
usr_018245,39,2,2908.18,4,3,5,Loyal Customers
usr_001525,18,9,4661.3,5,5,5,Champions
usr_003686,245,5,553.66,2,5,3,At Risk
usr_006384,706,1,389.39,1,1,3,Hibernating
usr_000155,0,28,14184.05,5,5,5,Champions
usr_000656,26,14,5993.54,5,5,5,Champions
usr_012757,218,3,3244.22,3,4,5,Loyal Customers
usr_001978,34,6,1746.74,4,5,5,Champions
usr_005753,42,6,5679.01,4,5,5,Champions
usr_026046,231,3,2416.26,2,4,5,At Risk
usr_003365,149,4,1777.95,3,5,5,Loyal Customers
usr_015730,335,2,1209.57,2,3,4,At Risk
usr_000100,2,50,14456.17,5,5,5,Champions
usr_012134,38,3,1094.88,4,4,4,Champions
usr_002244,16,2,2292.33,5,3,5,Loyal Customers
usr_032382,382,3,152.05,2,4,2,At Risk
usr_000789,23,16,5054.67,5,5,5,Champions
usr_000532,4,21,7198.72,5,5,5,Champions
usr_030579,23,2,187.67,5,3,2,Promising/Active
usr_029332,706,1,167.04,1,1,2,Hibernating
usr_010044,133,2,1036.84,3,3,4,Loyal Customers
usr_002601,3,6,1546.22,5,5,5,Champions
usr_016430,705,1,434.42,1,1,3,Hibernating
usr_000833,10,7,3427.69,5,5,5,Champions
usr_023596,705,1,19.04,1,1,1,Hibernating
usr_001413,32,5,465.44,4,5,3,Loyal Customers
usr_007387,705,1,501.12,1,1,3,Hibernating
usr_001540,39,5,718.07,4,5,3,Loyal Customers
usr_037406,501,2,134.75,1,3,2,At Risk
usr_000094,9,54,14227.15,5,5,5,Champions
usr_000991,42,15,5204.85,4,5,5,Champions
usr_030165,705,1,176.32,1,1,2,Hibernating
usr_000105,0,42,17484.98,5,5,5,Champions
usr_000465,21,18,7559.93,5,5,5,Champions
usr_000212,38,26,10908.27,4,5,5,Champions
usr_011740,399,2,482.02,1,3,3,At Risk
usr_037476,705,1,294.99,1,1,2,Hibernating
usr_000406,201,9,1041.72,3,5,4,Loyal Customers
usr_000095,2,42,13563.67,5,5,5,Champions
usr_000046,1,82,31112.16,5,5,5,Champions
usr_000016,1,166,229512.58,5,5,5,Champions
usr_000004,1,413,171299.97,5,5,5,Champions
usr_014809,30,3,921.48,4,4,4,Champions
usr_013654,372,3,325.49,2,4,2,At Risk
usr_002803,2,6,3098.77,5,5,5,Champions
usr_004350,29,3,978.61,4,4,4,Champions
usr_003572,232,3,168.68,2,4,2,At Risk
usr_001704,153,9,4783.79,3,5,5,Loyal Customers
usr_005683,32,5,2040.48,4,5,5,Champions
usr_015514,705,1,40.25,1,1,1,Hibernating
usr_036634,705,1,252.79,1,1,2,Hibernating
usr_000781,61,14,5278.63,4,5,5,Champions
usr_015184,180,2,1274.33,3,3,4,Loyal Customers
usr_000794,9,12,5220.5,5,5,5,Champions
usr_000802,38,13,3742.69,4,5,5,Champions
usr_000074,0,65,22503.31,5,5,5,Champions
usr_001389,3,8,2269.47,5,5,5,Champions
usr_001728,99,9,2038.16,3,5,5,Loyal Customers
usr_009990,32,4,1568.42,4,5,5,Champions
usr_005622,84,5,848.82,4,5,4,Champions
usr_000859,108,2,267.96,3,3,2,Promising/Active
usr_021201,705,1,182.62,1,1,2,Hibernating
usr_003279,451,2,1496.89,1,3,5,At Risk
usr_036864,362,2,286.2,2,3,2,At Risk
usr_017652,261,2,210.5,2,3,2,At Risk
usr_018268,180,2,225.86,3,3,2,Promising/Active
usr_000113,0,35,14645.62,5,5,5,Champions
usr_000528,22,15,3221.27,5,5,5,Champions
usr_003339,173,3,205.18,3,4,2,Promising/Active
usr_002974,25,4,419.04,5,5,3,Loyal Customers
usr_004943,35,7,3077.88,4,5,5,Champions
usr_012855,34,3,781.56,4,4,3,Loyal Customers
usr_004153,360,3,1764.56,2,4,5,At Risk
usr_000110,1,52,19757.18,5,5,5,Champions
usr_001307,126,8,2489.52,3,5,5,Loyal Customers
usr_010652,690,2,1039.66,1,3,4,At Risk
usr_000976,19,11,3951.49,5,5,5,Champions
usr_016446,27,2,45.14,5,3,1,Promising/Active
usr_005925,705,1,418.36,1,1,3,Hibernating
usr_000232,14,14,4928.15,5,5,5,Champions
usr_020166,194,3,1613.39,3,4,5,Loyal Customers
usr_014687,513,2,822.3,1,3,4,At Risk
usr_002890,5,7,7173.5,5,5,5,Champions
usr_011160,704,1,1508.8,1,1,5,Hibernating
usr_013184,544,2,713.96,1,3,3,At Risk
usr_006083,105,4,1122.03,3,5,4,Loyal Customers
usr_027061,704,1,1091.08,1,1,4,Hibernating
usr_029515,315,2,1255.5,2,3,4,At Risk
usr_017980,100,3,1278.49,3,4,4,Loyal Customers
usr_008397,76,3,1070.53,4,4,4,Champions
usr_024180,704,1,389.6,1,1,3,Hibernating
usr_008797,389,4,1445.23,1,5,4,At Risk
usr_000235,70,25,8201.07,4,5,5,Champions
usr_003657,10,7,1705.62,5,5,5,Champions
usr_035657,286,3,832.69,2,4,4,At Risk
usr_002848,26,4,2030.21,5,5,5,Champions
usr_000364,3,21,11084.63,5,5,5,Champions
usr_002815,375,2,345.79,2,3,2,At Risk
usr_029296,704,1,270.61,1,1,2,Hibernating
usr_007343,704,1,185.6,1,1,2,Hibernating
usr_013407,557,2,775.58,1,3,3,At Risk
usr_001969,15,7,3969.64,5,5,5,Champions
usr_019187,704,1,591.36,1,1,3,Hibernating
usr_018794,704,1,185.6,1,1,2,Hibernating
usr_011320,206,3,2402.53,3,4,5,Loyal Customers
usr_000012,1,190,79363.01,5,5,5,Champions
usr_026697,704,1,98.6,1,1,1,Hibernating
usr_001889,24,6,1449.75,5,5,4,Champions
usr_009881,704,1,380.82,1,1,3,Hibernating
usr_037324,704,1,96.19,1,1,1,Hibernating
usr_034620,704,1,70.09,1,1,1,Hibernating
usr_002015,27,4,1786.03,5,5,5,Champions
usr_021995,704,1,709.05,1,1,3,Hibernating
usr_009706,2,4,893.04,5,5,4,Champions
usr_001298,14,5,1578.41,5,5,5,Champions
usr_003576,11,7,904.81,5,5,4,Champions
usr_001703,3,8,1362.6,5,5,4,Champions
usr_020062,175,2,325.71,3,3,2,Promising/Active
usr_002358,21,5,6950.72,5,5,5,Champions
usr_017122,213,4,1789.91,3,5,5,Loyal Customers
usr_002980,308,3,1279.48,2,4,4,At Risk
usr_011729,10,3,2221.9,5,4,5,Champions
usr_003032,28,4,2633.92,5,5,5,Champions
usr_018592,406,2,776.96,1,3,3,At Risk
usr_001227,125,11,4474.79,3,5,5,Loyal Customers
usr_028743,704,1,589.02,1,1,3,Hibernating
usr_002814,93,3,348.65,4,4,2,Promising/Active
usr_000089,1,43,14682.12,5,5,5,Champions
usr_022186,77,2,1173.34,4,3,4,Loyal Customers
usr_038497,704,1,617.88,1,1,3,Hibernating
usr_030698,9,2,1222.13,5,3,4,Loyal Customers
usr_000885,17,6,734.23,5,5,3,Loyal Customers
usr_003659,23,7,1983.04,5,5,5,Champions
usr_001161,14,9,7196.12,5,5,5,Champions
usr_003295,36,3,433.4,4,4,3,Loyal Customers
usr_000287,36,21,6249.69,4,5,5,Champions
usr_008059,704,1,171.74,1,1,2,Hibernating
usr_000109,26,34,11916.97,5,5,5,Champions
usr_000259,10,24,10837.71,5,5,5,Champions
usr_007691,91,2,811.87,4,3,3,Loyal Customers
usr_001981,21,8,2738.74,5,5,5,Champions
usr_036363,704,1,75.93,1,1,1,Hibernating
usr_020581,582,2,1108.34,1,3,4,At Risk
usr_013243,28,3,419.51,5,4,3,Loyal Customers
usr_000597,47,11,3557.75,4,5,5,Champions
usr_000112,4,48,20742.93,5,5,5,Champions
usr_008719,97,4,2096.77,4,5,5,Champions
